TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
16000	602.1	217	1533	58.01	3.1476983109008527	1.490881909314301	6.7562256	0.6793529	0.39981599657266126	0.34478115311594987	2.9618592	0.015031268
32000	619.65	218	1543	131.31	8.6768701171875	1.87241403705801	13.134207	4.8604746	1.320935546875	1.4277484288808988	10.759831	0.14866014
48000	640.99	218	1807	204.72	13.1636240234375	1.9674330913019635	18.959152	8.209682	2.97086865234375	3.1705656164358116	23.333916	0.25692725
64000	691.1	218	1665	277.27	17.32897265625	1.7621838008694992	23.108734	11.977905	4.034894775390625	4.47616779455373	36.147614	0.341748
80000	676.85	223	2966	352.31	17.48830078125	1.8987173147696974	23.873764	11.464142	4.913974609375	5.348368252911349	32.90535	0.53076726
96000	618.83	215	1819	425.55	17.75508984375	2.107524188028455	24.684917	10.954129	5.4384306640625	6.7008727276751054	41.50639	0.4564978
112000	618.73	217	1291	497.49	21.254337890625	2.6283353066865347	29.64947	13.228712	6.95595947265625	9.16362885269804	74.83674	0.75255454
128000	645.2	222	1346	569.58	26.895478515625	3.0122769626978196	35.21991	17.980791	9.7381494140625	12.085310039465268	76.82426	0.93508387
144000	698.28	222	2601	647.46	27.6036640625	2.5563157082019425	35.03273	20.297737	8.13531201171875	9.779246599943168	60.75624	0.6906446
160000	623.83	223	1405	721.19	29.54971484375	2.3326357309114942	36.390152	22.18287	8.299521484375	10.03713417764254	84.41044	0.79340506
176000	668.79	217	1310	796.33	31.822658203125	2.612013262073912	40.545036	23.976128	10.23918359375	11.431253075450652	95.378746	0.74885947
192000	650.1	215	1548	873.41	35.39421484375	2.6938115385952206	46.474323	26.343376	11.541146484375	13.935837344774084	109.14262	0.71520543
208000	707.58	215	2319	945.88	36.5500546875	2.4163958181556264	44.44124	28.389223	11.361447265625	13.622043257162266	90.55214	0.99387306
224000	693.3	215	1403	1021.73	37.803859375	2.1620580744252687	44.26008	31.661457	12.0954677734375	13.491478792185829	76.07468	1.1542951
240000	690.66	222	1311	1100.03	37.02433203125	2.315509443810368	44.531334	30.232197	10.8224736328125	12.709791992790441	87.451	0.73248196
256000	727.62	215	1882	1174.44	37.6952578125	2.2203243754080733	44.196777	30.06113	11.1169638671875	11.834208227633988	68.91426	0.9352976
272000	676.24	217	1312	1248.59	37.56638671875	2.081712129624315	44.802017	31.329865	9.4531728515625	11.681451643524447	75.33951	1.0122373
288000	724.28	217	1373	1321.06	39.83476953125	2.173220019672709	46.064598	32.705414	11.629294921875	13.948775707925051	112.057465	0.8519629
304000	663.92	223	1315	1394.01	39.254625	2.0062214026388636	45.99711	33.293007	10.27197265625	11.777095089622058	126.3077	1.2002978
320000	710.97	218	2064	1467.4	37.6425703125	1.8363186439475516	45.46153	31.853634	9.411767578125	10.157594141823152	59.899815	1.0559275
336000	730.31	218	1315	1539.52	37.29074609375	1.7601061424847366	42.027016	30.545916	9.0660009765625	10.532732462423983	72.83488	0.7584492
352000	669.16	223	1400	1618.53	36.5406796875	1.8863452334723223	41.93972	31.146133	8.497099609375	9.794991146626934	75.90981	0.9923083
368000	660.93	215	1523	1692.25	38.5883203125	1.522270707025774	43.118057	33.893654	9.2095986328125	9.844560284111221	60.833767	0.75165343
384000	598.11	223	1304	1769.16	38.5074453125	1.4393793760788884	43.26281	33.804047	8.54043359375	9.344650876303513	69.38297	1.0814875
400000	650.75	223	1891	1840.69	40.3458828125	1.9259512158768457	45.85296	35.192886	9.5303359375	10.155320342067009	65.18756	0.83315986
416000	647.77	218	1405	1916.26	41.95802734375	1.51696847672422	45.979218	37.339947	10.4844326171875	11.35127918177066	70.592804	1.1592841
432000	717.26	215	1866	1990.73	43.3162109375	1.6338127916873615	48.144672	37.08977	10.6451796875	10.853613669534216	64.932144	1.3638686
448000	632.64	231	1879	2063.99	43.2034453125	1.5960513409074597	48.50437	37.90605	10.860912109375	10.606879032613694	75.09892	1.3583069
464000	616.61	215	1320	2136.68	42.45328515625	1.8053417374731302	47.88532	36.871994	10.7516943359375	10.241826390468646	67.58539	1.4866406
480000	620.95	217	1655	2210.32	40.189453125	1.6158413026143301	45.101685	35.06249	10.630306640625	8.917343529605663	61.348198	1.7773101
496000	711.61	215	1875	2292.69	39.630984375	1.9884440932823269	44.862648	32.37917	10.1604208984375	8.683376719341387	57.82032	1.6591784
512000	723.11	217	1380	2366.03	38.07026953125	1.7607880371352906	43.840874	31.619751	9.9511767578125	8.913940539262082	61.273823	1.8138373
528000	624.76	215	1850	2444.02	38.0070390625	1.6733307768256327	43.151184	32.731842	9.3829541015625	7.785189765670456	53.337414	1.5882758
544000	633.91	215	1554	2523.78	37.06803125	1.5712758239226332	42.305763	31.653131	8.4968916015625	7.7871089889798	70.961075	1.1866627
560000	637.0	223	1318	2604.47	35.34221484375	1.658324909029063	40.794937	30.323627	8.2621142578125	7.695437467259415	59.47039	1.4161029
