TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
16000	591.17	222	2959	71.89	13.643742087553305	7.281090569692279	28.907455	0.83719337	1.9551261462636593	3.3331705168847168	32.62686	0.030421335
32000	691.75	222	2959	147.65	27.18991796875	3.0723896440718583	37.642197	19.667831	6.8107822265625	9.961727150072923	92.149765	0.53866124
48000	725.11	222	1545	229.36	41.0934453125	5.377009980288767	54.644356	28.589909	13.240478515625	21.096588883039836	126.35545	1.1712539
64000	604.13	218	1333	313.38	41.5555625	4.5156442473638245	54.930527	30.709755	16.4392890625	23.236868603579097	150.89034	1.1350038
80000	628.97	218	2278	393.65	43.372890625	3.112699228061555	54.955967	34.907837	14.3514765625	22.429505539578887	182.72829	0.9742806
96000	642.97	217	1313	474.11	41.12390625	3.6708409448227934	51.437054	28.72945	13.9921962890625	20.903662956525107	157.03984	0.8568801
112000	628.22	215	1380	550.21	37.0641484375	2.999086937875843	47.349186	28.136597	12.78523046875	18.13692711018049	111.68904	0.73842657
128000	664.66	218	1308	629.27	36.90026953125	2.6352994559738843	46.52384	29.873068	11.37173828125	15.374627536138883	94.23807	0.74865174
144000	654.19	215	2540	707.87	35.86063671875	3.1262675554285178	46.12073	26.251753	10.8863408203125	15.442602395645626	142.4921	0.8002047
160000	669.51	223	1886	785.01	32.59937890625	2.5618610102691948	40.886036	23.167496	8.7015810546875	12.128799662373849	95.90708	0.589183
176000	704.91	222	1306	866.6	32.068990234375	2.5235952930541377	41.220596	23.772497	8.598232421875	11.038210622650757	71.89067	0.6682253
192000	710.26	218	1804	947.48	39.1075859375	2.57890575299147	46.674072	30.12953	9.9954697265625	13.586430500687074	95.83206	0.7681452
208000	665.87	218	1652	1025.03	39.44425	2.672952359546696	47.53959	31.245693	10.881974609375	14.187693280621765	109.742584	0.76293945
224000	705.74	218	1875	1101.46	35.76959375	2.3717934768598634	43.574543	28.822182	8.67987890625	11.408298788601217	71.605804	0.5926673
240000	676.6	215	1394	1179.04	32.951375	1.926632323349476	39.24521	26.635836	7.2140751953125	9.417857870821793	91.643875	0.60275906
256000	684.09	217	1403	1256.53	33.78298046875	2.3292706912518777	40.757782	25.644024	7.7795263671875	9.052667942380301	61.11595	0.55841494
272000	652.26	215	1624	1335.51	36.3823515625	3.682706232556773	46.869087	27.07058	9.208958984375	11.515781291341026	82.33054	0.71218234
288000	680.08	215	1643	1412.26	40.09246875	2.2587135961371905	47.863625	33.256073	9.8877734375	12.962766390705342	130.00348	0.929065
304000	631.33	215	1676	1489.51	39.2993515625	2.177889827691589	45.9685	33.357815	9.800130859375	12.052281941607573	89.7851	0.82083184
320000	642.61	218	1328	1570.25	38.0523671875	2.0276570386547745	45.40908	31.901308	9.1731923828125	11.136583856820726	76.12038	0.5854621
336000	673.53	217	2600	1649.77	41.3198359375	2.972421249745315	49.23142	31.887205	10.1990517578125	12.767983640732002	87.94415	0.54279315
352000	766.5	218	1885	1725.88	44.52021875	1.5839035602842901	49.73754	39.61651	11.7098798828125	14.368172291561653	87.231735	0.9044344
368000	754.43	218	2997	1801.55	41.34569140625	2.400014648392797	47.964954	34.74742	9.924189453125	12.439964579933498	77.813126	0.8152843
384000	703.35	215	1404	1878.76	44.0795859375	2.5614672080299017	52.038757	37.86359	12.2766708984375	14.450270326191134	84.621735	0.87431574
400000	720.17	217	1394	1955.59	47.1801640625	2.0983077724234116	56.0351	39.54327	13.07948046875	17.152718443442136	163.59663	0.9728764
416000	639.93	215	1395	2032.54	44.94904296875	2.3681569796930164	52.796005	36.906116	12.4537802734375	15.232683816386396	131.53769	1.1336898
432000	707.31	217	1530	2108.61	41.1184140625	1.939624717044189	47.1727	34.43891	10.21911328125	12.866955010801895	94.0346	1.0589384
448000	691.47	218	1313	2185.88	44.746640625	2.0734101825630766	50.87513	39.125732	10.852765625	12.872358952422045	81.6911	1.064488
464000	672.95	215	1656	2262.01	41.3127265625	1.856531241846774	49.285156	36.19072	9.5150546875	11.142284325936043	75.9803	0.88270307
480000	672.52	217	1308	2338.76	37.058859375	2.132896518491638	43.025467	29.717508	8.916029296875	10.11940431794283	94.88679	0.9782652
496000	719.39	217	2590	2415.79	36.144640625	2.109272682703685	42.555473	29.505798	7.8275791015625	9.109963638785832	77.8107	0.9161796
512000	748.45	223	1553	2495.8	37.9874765625	1.763937038829086	43.884987	31.236584	7.78046142578125	9.19702524936732	70.490974	0.8493316
528000	727.02	231	1300	2574.78	37.022703125	2.202721040093082	43.89245	29.83206	8.0702197265625	9.24380578076476	67.37756	1.0293025
544000	612.6	215	1527	2656.76	37.7077578125	2.5448655800085986	45.676376	30.188473	7.80733203125	8.935531251693991	60.108418	1.1876538
560000	642.02	217	1883	2743.43	38.54171484375	1.9891505037483965	44.529816	32.685955	8.1833193359375	8.680251472451706	70.12377	0.9972062
576000	677.94	218	1404	2839.23	38.2075625	2.2870668561910255	45.98554	31.391888	8.0294736328125	9.06045839072174	73.33735	1.0716591
592000	666.93	215	1827	2921.67	47.38145703125	3.0629331645193467	55.280144	38.42308	12.08909375	14.044097403357755	110.35851	1.2052372
608000	704.25	217	1495	3003.15	43.3775390625	2.1281057267849732	50.26349	37.038822	9.98109375	11.225798273396864	79.809166	1.047939
624000	635.52	222	1540	3086.56	39.819234375	2.0985825759604984	47.909237	34.134026	9.0143046875	10.084614674096379	96.98092	1.0013902
640000	627.29	218	1674	3175.0	41.75685546875	2.1869472515929598	53.25284	34.380775	9.865908203125	11.57690791511274	106.89812	1.1929338
656000	600.47	218	1393	3267.64	39.45795703125	1.9518772889635954	46.786728	33.695602	9.312978515625	10.03126752334918	122.74638	1.1548399
672000	618.01	218	1316	3351.95	39.1029140625	2.012041812651858	45.269833	33.019283	8.97734375	9.511574363637179	88.15771	1.375138
688000	653.77	217	1816	3438.28	40.8773046875	2.345785053991787	47.437103	33.798172	9.97591796875	9.811381305657221	61.9756	1.3338867
704000	569.36	217	1297	3526.49	39.17494140625	1.8431278081531677	44.46396	32.57455	9.2102548828125	8.448501623808804	55.449806	1.3132021
720000	622.11	215	1664	3620.94	41.47870703125	2.3884244365402267	49.1621	34.60512	10.4635732421875	9.577677497702666	53.76528	1.5193669
736000	685.48	218	2292	3707.7	40.29866015625	1.9205614794857193	45.741837	33.225136	9.8031298828125	8.928505526542502	74.46089	1.5721805
752000	633.99	215	1310	3795.2	41.366	2.2655704734817896	46.84531	33.341232	10.67261328125	9.953443185651889	75.43564	1.3350599
768000	613.53	215	1391	3879.24	44.856515625	2.1081077211714065	51.688866	36.268723	11.867533203125	11.33355154508065	87.8404	1.4912534
784000	655.65	218	1390	3966.57	44.807875	2.166737178339819	51.430504	38.61255	11.6019501953125	11.405437984794798	83.937	1.7010813
