TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	644.62	215	1789	58.15	0.3838799	0.33231777	3.1614482	0.022539023
32000	620.19	215	1826	119.45	1.2602808	1.2597413	9.379457	0.14541548
48000	697.37	215	1510	181.33	2.7472675	2.45887	20.120806	0.29412425
64000	658.47	217	1510	244.27	4.5801535	4.667145	30.646923	0.39743328
80000	645.2	217	1317	308.15	5.7166724	5.8203635	36.86202	0.45557234
96000	669.18	217	2502	371.73	6.383207	6.760854	47.469864	0.6985014
112000	715.54	222	2220	435.32	8.302622	9.003629	69.83125	0.86504906
128000	702.98	215	1401	499.55	9.762816	10.764901	70.668724	0.79573435
144000	744.77	218	1801	563.57	10.224301	11.769516	84.15401	1.0982201
160000	639.68	215	1822	627.8	12.099857	14.019156	132.071	1.1908146
176000	679.5	217	1818	692.55	12.243817	12.538708	94.758316	1.1261826
192000	670.61	215	1542	757.32	11.719536	12.489723	87.50481	1.1501056
208000	699.83	223	1868	822.12	10.242361	11.921019	139.3003	1.3996048
224000	733.79	215	1826	887.33	9.404879	9.695578	68.11814	1.1988754
240000	645.47	217	1315	952.49	9.347792	9.293387	62.68564	1.2961502
256000	660.77	215	1312	1017.75	9.1649475	9.379964	67.92916	0.9277992
272000	678.57	217	1314	1082.32	8.271387	9.026191	67.093864	0.97171307
288000	626.33	217	1545	1146.89	8.093357	8.291247	64.20964	1.0225943
304000	664.4	222	1393	1212.4	8.61749	8.74344	55.20905	1.2764087
320000	614.62	217	1310	1277.01	7.954123	8.324979	66.980934	1.0038838
336000	553.75	223	1304	1341.44	7.503268	7.714993	58.107533	1.2985637
352000	521.25	223	1299	1406.07	7.427162	7.938644	114.13199	1.289027
368000	450.28	223	1050	1471.04	6.2718306	6.385959	45.25013	0.7470229
384000	408.65	215	1047	1535.68	5.66932	5.1996093	40.570206	0.8652838
400000	379.26	215	697	1600.21	5.005332	4.861831	38.46867	0.76954854
416000	409.76	223	870	1665.43	3.886173	3.2855208	34.598778	0.47702625
432000	446.9	223	1307	1729.71	4.101881	3.6160781	41.354816	0.68533814
448000	385.1	223	1016	1794.51	4.341743	3.8759778	32.894196	0.4900518
464000	434.01	215	1322	1858.77	4.549289	3.9148877	41.445	0.60667187
480000	366.21	215	964	1923.89	5.075918	5.027581	47.378517	0.6933441
496000	390.97	217	912	1988.61	5.2534666	5.4119473	45.771114	0.56015867
512000	390.23	217	636	2053.46	5.113291	5.3668804	41.45705	0.59328514
