TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	660.48	231	1804	63.66	0.3900967	0.33031848	2.422507	0.021766622
32000	656.94	217	1610	129.64	1.5451521	1.4425219	15.880788	0.1662359
48000	662.28	223	1316	197.05	3.5047154	3.2156289	29.328104	0.25239706
64000	535.24	218	1251	265.13	5.084626	4.873773	32.418602	0.49498406
80000	626.54	215	1318	332.84	6.8603754	6.839339	48.123928	0.7139993
96000	688.76	217	1868	400.41	7.993997	8.310018	56.379047	0.6999587
112000	644.18	222	1379	467.95	11.79584	12.283521	67.671005	0.96645683
128000	757.1	223	1668	536.99	14.405482	14.405058	114.05783	1.0554302
144000	706.1	222	1316	605.49	13.929492	13.763874	122.139404	1.1038547
160000	693.38	215	1315	673.2	13.464543	11.441892	70.443756	1.2714257
176000	612.62	217	1404	740.79	12.175336	11.038305	89.86766	1.3141534
192000	502.84	217	1314	808.38	11.355357	11.043914	82.05474	1.1660485
208000	485.46	222	1325	875.5	10.630714	9.2254305	52.38885	0.9461148
224000	547.2	215	1307	942.96	10.021641	8.794718	59.99132	0.8221098
240000	625.92	223	1314	1009.13	9.37816	8.253504	50.996826	0.83876646
256000	611.12	218	1135	1075.66	9.824492	8.384951	59.364975	0.7168976
272000	626.44	223	1046	1140.72	9.432754	7.7058916	54.582806	1.1107745
288000	426.58	223	1041	1205.71	9.782463	7.2727666	54.061943	1.4421856
304000	442.16	226	1665	1271.4	9.8449335	7.4889297	61.986732	1.0194801
320000	365.16	226	1887	1336.59	11.9819	10.411945	74.62756	0.9632609
336000	447.88	226	1889	1402.2	12.187957	11.463165	89.4361	1.3606725
352000	765.56	226	1892	1467.95	12.239879	12.276527	96.11175	1.3846513
368000	670.26	231	1548	1533.55	13.060474	13.656045	106.02088	1.0330335
384000	509.48	223	1311	1598.36	12.937207	13.1373205	89.62599	1.5136122
400000	399.2	223	1832	1662.89	13.445712	12.843614	80.72401	1.2341131
416000	738.86	226	1312	1728.07	14.7237015	12.996143	82.2886	0.91017085
432000	742.52	231	1312	1792.76	13.686834	11.302953	74.482605	0.86509484
448000	763.9	231	1310	1857.48	12.263569	11.178037	90.42247	0.9501885
464000	669.34	231	1551	1923.67	11.6314	10.739837	74.17661	1.2232027
480000	639.78	231	1828	1987.63	11.817783	11.584411	78.6874	1.0083413
496000	723.72	226	1826	2054.6	12.774084	12.66232	91.01491	1.1204801
