TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
32000	632.4	215	1369	80.69	0.35941959534636225	0.3111132706658072	2.3787785	0.015990859
64000	676.4	215	1798	166.38	1.202394287109375	1.098585516343061	6.1650805	0.08573299
96000	655.52	222	1299	254.27	2.663347412109375	2.3122273910263456	14.212778	0.26952982
128000	671.89	218	1668	341.24	4.00792822265625	3.7088049793700395	24.465609	0.3181426
160000	683.15	217	1537	426.39	4.99215478515625	4.936221946932188	30.290623	0.3617509
192000	633.31	215	1631	512.01	5.9237734375	6.532068130577023	47.319893	0.5819209
224000	771.63	218	1882	599.29	7.2969658203125	8.43926648175065	54.336685	0.6970172
256000	673.36	215	2317	686.06	7.791171875	8.560617493790971	48.983143	0.7219038
288000	773.71	223	1890	772.77	8.0019072265625	9.429464294168572	59.577953	0.7816074
320000	589.88	223	1313	858.46	8.391845703125	9.497653493100282	68.20675	0.84534705
352000	600.7	223	1314	944.88	9.061521484375	10.059102687367298	113.97988	0.9458662
384000	688.53	231	1322	1030.49	9.893650390625	9.629449458562	65.46394	0.99244404
416000	528.25	223	1308	1115.62	10.0199853515625	9.401958738741625	56.54718	1.1881783
448000	574.26	223	1307	1202.2	10.196529296875	10.7004895477964	76.190506	0.8317801
480000	539.0	231	1320	1288.79	10.5125498046875	9.606427698421511	54.869602	0.90328133
512000	592.08	223	1402	1376.14	9.76337890625	9.530166741720734	59.822254	0.9240017
544000	468.98	223	1312	1462.45	10.2364599609375	9.478079562205627	62.340733	1.1702292
576000	436.82	226	1287	1548.17	9.6859453125	7.987952843188297	45.755737	1.1873012
608000	458.18	223	1311	1633.81	9.749962890625	8.409367916199171	61.42503	0.7502731
640000	389.82	223	1272	1718.4	8.7833671875	7.547829779148441	46.12371	0.8803675
672000	344.3	226	1291	1803.71	8.12636767578125	6.96119657907317	45.988014	0.79653025
704000	393.64	223	1031	1888.25	8.5549345703125	6.75781318641615	45.437004	1.2146637
