TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	651.31	217	1381	23.17
64000	640.56	217	1455	46.35
96000	705.56	217	1798	69.49
128000	665.85	222	1542	92.31
160000	603.0	217	1309	115.22
192000	688.52	215	1394	138.04
224000	642.0	217	1303	161.13
256000	619.16	217	1835	184.08
288000	604.03	217	1632	207.05
320000	642.54	217	1399	229.9
352000	674.72	217	1396	252.75
384000	688.34	222	1806	275.7
416000	640.18	217	1766	298.43
448000	632.94	215	1569	322.04
480000	647.3	217	1868	345.06
512000	618.63	218	2318	367.95
544000	665.06	217	1608	390.91
576000	640.08	215	1653	413.8
608000	683.96	217	1536	438.32
640000	621.87	215	1299	461.65
672000	728.37	217	2539	484.73
704000	656.9	217	3004	508.61
736000	663.85	217	1871	531.26
768000	698.36	215	2316	554.23
800000	635.68	218	1388	577.26
832000	680.19	222	1856	600.25
864000	575.5	218	1297	623.47
896000	617.53	218	1312	646.45
928000	658.94	217	1826	669.51
960000	647.31	218	1401	693.18
992000	674.01	222	1298	716.03
1024000	632.09	218	1290	738.68
1056000	661.83	217	1318	762.14
1088000	671.21	217	1749	785.65
1120000	544.33	217	1355	808.5
1152000	650.57	215	1307	832.05
1184000	673.65	217	2949	855.73
1216000	670.11	217	1347	879.61
1248000	660.46	218	1291	904.64
1280000	567.57	215	2310	928.78
1312000	680.51	218	2974	953.24
1344000	693.67	217	1405	978.6
1376000	627.62	215	1817	1003.81
1408000	690.91	217	1337	1028.72
1440000	715.03	217	1431	1055.74
1472000	635.47	215	1380	1082.47
1504000	658.24	222	1390	1108.02
1536000	703.94	218	2293	1134.53
1568000	618.7	215	1403	1160.53
1600000	668.52	218	1524	1186.0
1632000	652.66	215	1648	1212.81
1664000	623.7	217	1813	1239.91
1696000	655.44	218	1495	1265.36
1728000	671.89	217	1856	1292.09
1760000	651.24	218	1755	1317.95
1792000	663.35	215	1300	1343.73
1824000	693.38	217	2234	1370.87
1856000	682.62	217	1506	1395.78
1888000	683.33	222	1538	1422.95
1920000	643.75	215	1347	1448.88
1952000	672.14	215	1313	1474.68
1984000	607.7	215	1302	1501.78
2016000	643.39	222	1823	1528.68
2048000	700.92	217	2293	1555.03
2080000	592.99	215	2284	1584.22
2112000	633.15	217	1517	1611.31
2144000	679.58	215	1302	1638.58
2176000	658.6	218	2278	1664.35
2208000	683.13	217	1318	1690.71
2240000	672.99	215	1283	1716.74
2272000	673.79	217	1664	1743.06
2304000	630.43	215	2219	1769.38
2336000	669.65	215	1633	1796.06
2368000	672.3	215	1305	1822.65
2400000	716.95	223	1319	1849.11
2432000	656.06	217	1305	1874.59
2464000	643.36	215	1299	1900.16
2496000	668.76	222	2277	1926.11
2528000	618.67	217	1392	1950.98
2560000	630.66	217	1870	1975.97
2592000	683.48	222	1285	2000.25
2624000	649.69	215	1844	2025.31
2656000	659.26	217	1732	2049.72
2688000	718.65	215	1851	2073.81
2720000	653.54	222	1304	2097.99
2752000	661.3	217	1294	2122.8
2784000	642.85	218	1289	2147.3
2816000	654.6	223	1772	2172.84
2848000	654.62	223	1605	2198.68
2880000	610.19	222	1304	2223.91
2912000	611.58	217	1385	2249.02
2944000	641.33	215	1505	2274.25
2976000	703.47	217	2304	2299.13
3008000	617.87	222	1336	2324.21
3040000	704.12	218	1659	2349.38
3072000	587.83	217	1265	2374.21
3104000	616.91	215	1535	2399.27
3136000	632.39	222	1594	2425.34
3168000	623.83	217	1381	2450.14
3200000	695.64	222	1643	2475.93
3232000	685.16	217	2559	2501.03
3264000	620.85	217	1513	2526.24
3296000	597.21	223	1287	2550.94
3328000	687.51	218	1880	2576.28
3360000	654.24	217	1399	2601.31
3392000	629.18	215	1532	2628.22
3424000	627.11	215	1829	2653.55
3456000	703.76	218	2604	2678.22
3488000	678.99	217	1541	2703.31
3520000	633.38	223	1280	2727.67
3552000	662.82	215	1643	2752.18
3584000	679.67	217	1809	2776.99
3616000	705.27	217	1534	2802.81
3648000	680.9	223	1820	2829.07
3680000	694.95	223	2265	2853.65
3712000	624.51	222	1294	2878.51
3744000	608.41	215	1316	2903.91
3776000	649.28	222	1298	2929.82
3808000	645.36	217	1529	2954.74
3840000	618.99	223	1493	2979.53
3872000	689.13	215	1758	3006.14
3904000	622.03	215	1341	3030.65
3936000	585.22	222	1279	3055.79
3968000	673.25	222	1302	3081.53
4000000	620.82	215	1307	3106.75
4032000	702.72	217	1654	3132.22
4064000	656.84	218	1515	3156.61
4096000	647.4	217	1300	3181.13
4128000	623.33	217	1702	3205.39
4160000	696.86	217	1846	3231.03
4192000	659.11	217	1629	3256.62
4224000	640.97	217	1283	3281.26
4256000	630.24	215	1877	3306.99
4288000	630.09	217	1589	3332.66
4320000	704.7	223	1831	3358.22
4352000	659.86	218	1303	3383.47
4384000	602.97	217	1851	3408.95
