TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	423.74	108	1007	54.84	0.3775532	0.23553406	1.7468686	0.10512845
32000	456.05	108	1083	113.74	1.5053545	0.9393493	7.5597663	0.2090852
48000	406.43	105	1215	170.87	3.2648973	1.912891	19.948946	0.622108
64000	390.49	105	1065	228.11	4.8280606	2.7504275	19.793808	0.8585284
80000	372.67	120	1219	285.81	6.2966676	3.5825903	24.398798	1.1015161
96000	378.65	111	1011	343.83	7.8179984	4.5140395	30.650955	1.1743169
112000	358.83	108	1222	402.33	8.938987	5.3435955	39.116447	1.5849822
128000	379.34	111	1080	461.35	10.069152	5.6563883	34.444786	1.590277
144000	300.69	111	1190	520.44	10.789901	6.5517898	48.57911	1.7035614
160000	389.56	120	800	579.89	10.595244	6.560141	51.955887	1.568574
176000	424.11	120	1101	639.27	9.994033	6.34191	45.755722	2.2286308
192000	597.12	120	1205	698.95	9.527359	6.082216	43.91221	1.7015166
208000	568.04	120	1203	758.47	8.625582	6.055062	50.92294	1.7069359
224000	618.33	120	1204	818.2	7.6504197	5.1475577	53.068695	1.1582057
240000	628.03	120	1218	878.11	6.951973	4.5805707	40.16849	1.1679262
256000	578.72	120	1707	938.06	6.4150276	4.741269	45.514915	1.5109923
272000	625.58	120	1707	997.61	5.7538633	3.9954467	32.788555	1.3640718
288000	653.59	120	1052	1057.7	5.136975	3.695302	38.908566	1.1605562
304000	711.2	120	1385	1116.84	4.918662	3.6196992	32.973213	0.79112774
320000	732.06	366	1385	1176.95	4.352373	3.1148224	29.956022	0.964376
336000	715.8	-101	1214	1236.26	4.1176414	2.8023806	24.363628	0.68622065
352000	719.23	-101	1178	1295.89	4.042543	2.6884146	31.158926	0.73108476
368000	725.43	120	1195	1355.58	4.052863	2.8287349	21.248203	0.6113428
384000	709.72	120	1177	1414.71	4.0900025	3.1779993	20.192888	0.6005265
400000	718.53	120	1197	1474.3	4.283576	3.7579706	33.598145	0.36628252
416000	733.34	120	1197	1534.26	4.9158435	4.6798162	32.82061	0.5748725
432000	734.85	120	881	1594.46	5.310331	5.2789407	38.960625	0.5750866
448000	754.17	120	1213	1654.82	5.5860586	5.555901	39.022224	0.58590543
464000	760.77	120	1213	1714.67	5.984912	5.6943536	42.834564	0.5366247
480000	779.04	583	883	1774.4	5.6583858	5.345868	34.727325	0.56872535
496000	755.73	120	1358	1834.01	5.7964034	5.2964506	35.902355	0.65978324
512000	782.67	120	1159	1893.76	5.7622657	5.1126437	40.2448	0.56685615
528000	788.67	371	1159	1954.21	6.0025587	5.738861	33.096985	0.57177955
544000	790.35	403	1217	2013.77	5.9306045	5.7513027	48.026535	0.47996828
560000	785.0	120	1217	2073.59	5.4166594	5.3578663	38.623283	0.42539176
576000	763.25	-133	1176	2133.31	4.8114758	5.5480776	34.568764	0.3601595
592000	779.92	120	1551	2192.57	4.894923	5.652238	42.967323	0.40095252
608000	774.0	120	1216	2252.75	4.9337764	5.657451	43.613895	0.3891657
624000	778.7	194	1206	2311.98	4.7533183	5.1997995	45.221355	0.27123246
640000	784.71	120	1213	2371.44	4.3255124	4.69363	42.578514	0.4092295
656000	714.11	120	1220	2431.41	5.4110847	5.8259916	38.65287	0.49370217
672000	761.41	120	1220	2490.58	5.9806457	6.4413533	50.163406	0.44622794
688000	739.1	120	881	2550.35	5.7923255	6.1438518	47.580624	0.32746834
704000	761.4	120	1436	2610.65	5.9662333	6.566258	41.585957	0.4304306
720000	794.08	523	878	2670.19	5.6321416	6.3151994	41.04773	0.5198329
736000	782.94	120	878	2730.24	5.4818993	6.4525166	46.20465	0.42106912
752000	777.83	120	1225	2789.37	4.250133	5.5402193	44.69959	0.30620143
768000	774.02	120	868	2849.3	3.880242	4.672707	36.974373	0.25740403
784000	786.49	-133	1198	2909.15	3.712352	4.6732297	38.323402	0.3252345
800000	784.76	-133	1275	2969.22	3.4548101	4.14652	32.2147	0.24589859
816000	760.29	120	846	3028.91	3.4621954	4.344185	39.006706	0.2848102
832000	778.98	120	833	3088.63	4.053448	4.821495	28.103437	0.31537664
848000	783.78	120	1197	3148.35	3.6815574	4.4688597	35.755966	0.2522613
864000	772.25	120	1197	3208.83	3.3873487	4.4876714	49.337704	0.21234933
880000	786.42	528	886	3268.38	3.624126	4.5821333	37.08181	0.2627593
896000	783.77	120	1038	3328.34	3.6334317	5.242978	45.21322	0.21755159
912000	746.93	120	1221	3388.27	3.8498423	5.8014107	56.969837	0.21786037
928000	776.92	120	1084	3447.62	3.409774	4.903043	45.778225	0.20838076
944000	771.18	120	1206	3507.79	4.1275353	6.002134	55.35287	0.24305591
960000	777.55	394	1171	3567.52	4.036213	6.084217	56.384087	0.24944234
976000	770.77	120	886	3627.43	4.110698	5.4062777	48.747322	0.26539874
992000	720.96	120	1210	3687.73	4.2566514	5.2621427	39.885998	0.28009644
1008000	761.08	120	1213	3747.59	4.4073825	5.108782	36.87284	0.2849909
1024000	802.3	393	1214	3807.3	4.040665	4.8711805	49.605675	0.307304
1040000	808.1	120	1359	3867.46	4.046257	4.5119395	46.960846	0.27297926
1056000	814.29	120	1421	3926.69	3.6726944	4.372804	38.348324	0.35003108
1072000	792.49	120	1216	3987.02	3.490115	4.214532	40.97891	0.31200162
1088000	803.76	385	1219	4046.9	3.4582095	4.748563	55.424355	0.23920172
1104000	875.61	523	1454	4106.82	3.683729	4.5149045	41.59754	0.31282514
1120000	845.22	523	1454	4166.33	4.2066817	5.249898	42.460613	0.28885138
1136000	806.71	523	1213	4226.09	4.5506945	5.722514	70.2719	0.31374437
1152000	805.72	523	1192	4286.42	4.497814	5.620439	43.934135	0.37709212
1168000	823.98	523	1328	4346.08	4.575961	5.1799297	44.699577	0.26519042
1184000	810.09	534	1210	4406.13	4.874847	6.061426	48.30283	0.3313906
1200000	812.02	120	1441	4466.16	4.584097	5.436228	54.65982	0.3579843
1216000	811.66	120	1435	4525.88	4.810409	5.4039474	50.351418	0.41482672
1232000	828.73	120	1443	4585.68	5.1886373	5.4937067	47.426872	0.35580283
1248000	813.11	120	1441	4645.55	5.1418095	5.581714	36.702415	0.3264851
1264000	832.24	27	1211	4705.05	5.5538826	6.6519175	48.16159	0.4654438
1280000	867.1	120	1438	4765.48	5.62701	7.173868	65.418076	0.35886845
1296000	868.21	120	1525	4825.9	6.003727	8.024056	72.049355	0.33279717
1312000	871.23	120	1835	4885.8	6.2003403	7.8665886	62.226692	0.52681535
1328000	907.65	396	1832	4946.03	6.6164227	8.035048	60.784016	0.4821096
1344000	931.15	120	1441	5005.95	6.292568	7.8615503	61.08659	0.46861488
1360000	908.95	120	1827	5066.34	6.375667	8.139517	73.904816	0.66498005
1376000	859.84	120	1827	5126.26	5.1880918	5.8246365	56.42414	0.4294268
1392000	825.9	120	1703	5185.98	4.991294	6.025937	46.580803	0.5187181
1408000	863.33	120	1790	5245.92	5.076378	5.4317827	39.486057	0.46063456
1424000	794.43	364	1215	5305.46	4.917296	5.1531687	41.68093	0.5800785
1440000	790.17	120	1031	5365.66	4.434143	4.805725	45.42997	0.44938284
1456000	804.09	581	1212	5425.16	4.6256385	5.3379173	59.413044	0.3542202
1472000	848.94	766	1439	5484.54	4.3330145	5.0799174	41.99183	0.3131594
1488000	820.25	120	1820	5544.32	4.944922	5.7831674	48.01077	0.2992012
1504000	805.05	120	1217	5603.86	4.4608397	4.990021	53.875523	0.24616289
1520000	805.7	120	1215	5663.83	4.1817594	5.1173663	46.394882	0.26994008
1536000	816.35	120	1438	5723.02	3.942914	4.2132354	29.001217	0.3046413
1552000	819.85	120	1226	5782.4	3.3293674	3.429011	23.072947	0.2803943
1568000	842.13	120	1828	5842.8	3.4857793	3.7590568	29.41362	0.22163735
1584000	864.82	579	1829	5902.72	3.7023315	4.544984	51.376125	0.20146288
1600000	900.79	581	1546	5962.62	3.7391222	4.34614	33.399532	0.20255327
1616000	885.24	133	1813	6022.4	4.1768923	4.9653215	30.78666	0.25287658
1632000	937.08	385	1813	6082.03	5.183806	5.847828	47.53132	0.33235756
1648000	975.41	120	1829	6142.04	4.8630786	5.398079	41.864815	0.4197324
1664000	999.12	120	1834	6201.25	5.3543	5.9690924	51.859703	0.4854577
1680000	989.84	758	1972	6260.47	6.0305448	6.5649824	51.981995	0.54606134
1696000	848.6	385	1833	6320.46	6.5346794	6.718441	49.8726	0.60114074
1712000	840.9	383	1801	6379.6	6.7095637	7.2147837	64.57454	0.7520348
1728000	903.68	385	1828	6440.05	6.4733253	7.3728843	74.5065	0.5549408
1744000	957.37	120	1830	6499.64	6.8109026	7.572542	58.16072	0.58762336
1760000	1014.67	412	1982	6559.36	6.4319706	7.4531446	50.37374	0.58092356
1776000	1004.41	120	1839	6619.74	5.4904294	6.199356	49.27826	0.40705737
1792000	848.64	412	1804	6679.67	5.3290195	6.302282	53.69115	0.48258188
1808000	1021.44	412	1834	6739.3	5.588246	7.186907	60.301502	0.58158344
1824000	1076.87	120	1836	6799.49	5.263794	7.225314	80.79628	0.44573277
1840000	1218.72	120	1837	6859.61	5.050258	6.583813	52.97685	0.53411686
1856000	1282.89	577	1836	6920.2	4.369054	5.3742123	45.197906	0.5321585
1872000	1217.02	761	2021	6980.19	4.6131935	5.786485	49.06143	0.82830185
1888000	1194.43	576	2021	7039.82	4.666066	6.3196197	67.3013	0.62443864
1904000	1036.86	412	1836	7100.06	4.5848994	5.6170287	62.126945	0.60419285
1920000	935.16	120	1836	7159.76	5.355545	6.409208	55.27634	0.7945293
1936000	866.62	412	1834	7219.62	5.5285873	6.8438764	77.72692	0.7321973
1952000	860.73	576	1836	7279.65	7.1579614	8.357792	100.11593	0.9874899
1968000	1067.85	120	1957	7338.95	7.9039197	8.698811	80.15134	0.9811122
1984000	1093.21	120	2133	7399.54	7.80559	7.915742	75.08684	1.0902932
2000000	1138.49	523	2133	7459.01	6.495084	7.5418468	87.47519	0.842062
2016000	1217.55	133	2181	7519.31	5.7227674	6.527685	58.22134	0.8481976
2032000	1239.48	120	2181	7578.91	5.973453	6.50783	63.389706	0.71968037
2048000	1344.2	120	2138	7638.48	5.863846	6.988261	77.577354	0.71678644
2064000	1470.23	627	2165	7698.85	5.297418	5.393621	82.15901	0.79443926
2080000	1494.71	579	2288	7758.41	4.964363	5.180713	53.899208	0.82760334
2096000	1468.78	120	2288	7818.2	5.6896505	6.704769	71.40646	0.6708541
2112000	1310.08	120	1838	7878.4	6.053796	8.1832	95.069664	0.74031836
2128000	1320.84	120	1835	7937.97	5.349383	7.305008	94.31849	0.6059123
2144000	1351.52	120	1838	7997.75	5.0441494	7.750965	97.06675	0.61590356
2160000	1451.98	120	1838	8057.43	5.163108	8.490568	97.005875	0.54014564
2176000	1322.46	120	1838	8116.8	5.312545	9.513464	107.27342	0.39457238
2192000	1403.61	120	1838	8177.21	4.6885557	8.146667	85.4533	0.5878386
2208000	1529.27	120	1840	8237.18	4.9238114	8.818385	114.00246	0.3383295
2224000	1509.18	120	1950	8297.37	4.6797137	7.9055095	109.24536	0.5307538
2240000	1343.74	120	1950	8357.89	4.7587175	9.419578	107.89218	0.4601888
2256000	1359.05	120	1840	8417.06	5.270817	8.970653	102.35745	0.57651967
2272000	1324.22	120	1840	8476.95	4.5372987	7.2875447	90.71058	0.3395642
2288000	1428.62	194	1840	8536.66	4.3470373	5.196088	82.495255	0.42262703
2304000	1422.13	120	1841	8596.26	4.547818	7.6789784	115.30138	0.5619052
2320000	1404.23	120	1840	8656.44	4.7068186	7.801612	109.74121	0.4389797
2336000	1336.88	120	2261	8716.21	5.844052	7.957719	88.58371	0.44625682
2352000	1080.87	120	1839	8775.85	6.314641	7.794388	75.132675	0.49357516
2368000	968.25	120	1840	8835.78	7.9719644	9.285086	64.55768	0.7254547
2384000	1042.97	120	1840	8895.85	10.370038	10.735228	69.58058	0.9104558
2400000	1157.24	120	1840	8956.65	11.023654	11.488776	101.70041	1.0049791
2416000	1024.27	374	1838	9016.24	11.838882	12.199764	92.25435	0.94001806
2432000	1080.25	523	1838	9075.73	10.960034	10.771498	89.26455	0.8837304
2448000	1147.02	120	1838	9135.86	9.8961115	9.9307785	75.49942	0.8739543
2464000	1211.08	120	1837	9195.53	9.352209	10.500051	115.08514	0.6675994
2480000	1230.94	523	1836	9256.13	7.519086	7.9239297	56.57608	0.6656182
2496000	1275.53	120	1837	9316.08	6.940848	7.6913185	62.775818	0.5464166
2512000	1185.4	120	1837	9375.7	6.6141005	7.2699904	58.41417	0.76706684
2528000	1127.88	120	1992	9436.18	6.6518598	8.436464	112.47624	0.7413134
2544000	1197.0	120	2173	9495.64	6.166552	6.84217	71.37961	0.74679387
2560000	1334.92	120	2173	9555.53	6.1361666	7.4297943	72.70523	0.73830926
2576000	1308.72	120	1838	9615.39	5.2036195	6.167971	74.88371	0.66866946
2592000	1398.13	120	2346	9675.19	5.643286	7.344965	70.92087	0.7766575
2608000	1434.57	385	2346	9735.35	4.959355	5.864031	86.4656	0.6057586
2624000	1517.97	523	2170	9794.53	5.2055807	5.9985275	60.913933	0.6969533
2640000	1537.37	120	2170	9854.87	5.2312374	6.6577406	105.89859	0.79810727
2656000	1508.05	120	1838	9914.32	4.832718	8.44179	159.62227	0.6153475
2672000	1463.88	120	1838	9974.61	4.154721	6.6507173	95.23157	0.6134194
2688000	1393.09	27	1837	10034.77	4.5384874	6.0453653	61.731594	0.6085876
2704000	1452.25	27	1839	10094.68	5.2591877	9.469294	148.50128	0.71961063
2720000	1416.04	399	2188	10154.13	5.4324617	8.515521	107.64446	0.56592727
2736000	1546.06	587	2181	10214.62	4.700702	7.77462	123.2676	0.6629247
2752000	1567.13	120	2181	10274.36	4.755512	8.00347	112.376236	0.478949
2768000	1306.88	120	1839	10334.84	5.3119283	8.59329	93.99659	0.69022596
2784000	1145.53	120	1838	10394.26	6.0082083	10.162667	110.94722	0.8532356
2800000	1197.25	120	2346	10453.77	4.802152	6.3091855	81.17748	0.7034468
2816000	1299.74	120	2346	10514.35	4.3283515	5.832696	107.505104	0.6881349
2832000	1450.55	120	2178	10574.27	3.9543135	6.5247684	101.95098	0.54581356
2848000	1502.81	-101	2178	10634.09	3.3582695	4.46208	67.16419	0.427162
2864000	1417.93	120	1988	10694.24	4.1938486	6.3784294	88.659615	0.5830985
2880000	1167.92	-101	1988	10753.49	4.431495	7.184137	102.818756	0.52372384
2896000	1230.52	-101	2202	10813.39	4.7689695	7.8137455	95.695984	0.64554465
2912000	1299.52	412	2184	10873.08	6.2250643	12.280892	115.30058	0.57911706
