TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
16000	426.32	120	1144	73.59	0.36923048	0.25097054	2.1370425	0.044683695
32000	411.88	113	1170	148.39	1.4080067	0.75195825	5.9845705	0.30313396
48000	501.84	111	1214	224.22	3.1136143	1.7684742	11.569055	0.46175548
64000	446.74	120	1014	303.04	4.8836226	2.6933553	19.121883	0.89607
80000	530.84	113	1075	379.76	6.290598	3.5566258	26.909218	1.0669212
96000	457.88	113	1025	456.9	7.733839	4.3724356	26.962439	1.4267321
112000	489.78	120	1203	534.97	8.915011	5.1365633	39.554802	1.3284003
128000	573.74	120	1212	614.73	9.505586	5.45813	42.157806	1.6466677
144000	581.34	120	871	695.02	9.37892	5.780728	34.607647	1.6871142
160000	661.06	113	1035	775.33	8.602866	5.8506975	35.85472	1.667851
176000	651.66	113	808	856.71	7.6735625	5.778377	41.398136	1.3384295
192000	668.52	113	1011	937.46	7.0395646	5.6086946	38.852287	1.1271464
208000	681.78	113	1070	1017.8	7.257612	5.6941905	42.49293	1.2028426
224000	669.18	113	1070	1099.05	6.2373047	4.7082214	39.686176	1.0999547
240000	618.16	113	1062	1180.52	5.500981	4.455065	35.633453	0.6639157
256000	506.1	113	832	1261.74	5.7054276	4.4895835	44.339172	0.78588676
272000	664.26	113	843	1342.82	5.4980435	4.241354	36.18773	1.0020987
288000	600.92	113	1012	1423.99	5.3372416	3.9457614	35.571167	0.77441037
304000	691.56	194	829	1504.92	4.834086	3.2901292	24.292744	0.6517805
320000	673.82	194	1005	1586.31	4.4181385	3.625441	48.547855	0.4876595
336000	709.08	194	1158	1667.73	4.689819	3.7764359	46.711327	0.58017397
352000	587.28	194	1037	1749.32	4.7001534	3.9095242	28.803593	0.41234806
368000	541.52	-101	841	1831.57	4.754787	4.439271	29.37567	0.3914374
384000	500.1	-101	1026	1913.7	4.288574	4.6761646	38.253605	0.46336573
400000	630.02	-101	1001	1995.42	4.7533593	5.893944	91.283875	0.49438238
416000	695.66	-101	881	2076.55	4.3197775	5.5801578	41.39918	0.47174448
432000	766.08	-101	972	2158.76	5.0540366	7.6653094	50.904022	0.41167185
448000	771.06	527	1054	2242.28	5.02395	7.713684	59.19908	0.3888986
464000	769.86	120	1611	2328.54	5.032462	8.480918	65.10021	0.42550632
480000	764.18	120	1611	2414.83	5.822417	9.611769	76.84875	0.2655873
496000	741.18	-133	1171	2499.73	7.1549735	10.561533	81.5293	0.32118577
512000	727.96	-133	1912	2585.1	7.091235	10.895889	84.83125	0.2949562
528000	808.34	468	2181	2669.25	7.162692	11.10176	76.74721	0.26480234
544000	857.32	120	2181	2752.98	6.5549674	11.086749	92.11546	0.28534168
560000	752.28	-101	1179	2836.58	6.825045	11.400697	68.55827	0.33312267
576000	751.5	267	1216	2920.57	6.8244777	10.8877945	78.23844	0.36573738
592000	829.28	372	1653	3004.03	7.084341	10.162185	54.626465	0.5563749
608000	805.98	194	2334	3088.05	8.6434965	10.914925	76.3886	0.5854243
624000	799.34	523	1081	3171.82	7.807417	9.442938	53.31756	0.41147804
640000	871.92	712	1812	3255.87	8.333229	10.222148	72.41712	0.56013197
656000	781.58	120	1033	3339.26	9.134492	11.126578	79.08346	0.32839927
672000	845.16	389	1599	3423.4	9.007778	10.720574	85.11464	0.50127304
688000	923.62	406	1833	3506.88	9.183063	10.965271	69.02623	0.6167565
704000	902.62	194	1896	3590.63	8.6434555	10.156846	77.92768	0.5495742
720000	816.96	120	1794	3673.99	8.820058	10.85231	67.58194	0.63631386
736000	795.48	550	1003	3757.63	8.760334	10.60248	66.02484	0.6581142
752000	940.02	724	1826	3841.21	9.4883375	11.790507	73.48743	0.68647754
768000	924.2	689	2061	3925.18	9.649733	11.589005	81.33054	0.74237835
784000	994.32	754	2023	4009.71	10.644074	12.764516	81.90004	0.5674968
800000	915.42	772	1992	4093.36	10.109627	11.485133	70.26924	0.57235575
816000	865.46	729	1525	4177.21	11.482496	11.857705	74.32231	0.8794489
832000	871.48	367	1766	4261.94	11.24895	10.732089	82.69264	0.81947243
848000	925.58	401	1829	4345.69	10.841613	11.257742	105.87332	0.85323614
864000	921.34	365	1947	4428.7	11.531946	12.206984	81.316505	1.0590942
880000	957.9	194	2117	4512.08	10.439056	10.110496	57.92043	0.9617012
896000	1018.48	-69	1825	4596.96	10.320553	10.12744	74.2431	0.671025
912000	1015.0	394	1823	4681.4	9.904591	9.628908	71.429405	1.0189904
928000	905.74	194	1840	4765.41	10.072543	11.208231	83.758545	0.82719105
944000	1080.22	578	2343	4849.08	11.369621	11.691866	75.754486	1.0358465
960000	1131.06	194	2167	4933.45	10.8824	10.374196	70.41254	1.170824
976000	1049.54	194	2272	5017.41	10.992019	11.071056	91.93633	1.28403
992000	1267.68	194	1839	5101.52	11.484377	11.376538	103.03578	1.191715
1008000	1225.9	120	1838	5185.81	11.295769	11.293855	74.8411	1.1678159
1024000	1196.96	194	2343	5269.53	10.242845	10.830521	104.19771	1.2889763
1040000	1372.82	194	2413	5353.62	9.690457	10.504041	73.68133	0.9560758
1056000	1120.18	194	1837	5437.46	8.62382	9.527372	72.14994	1.1624365
1072000	904.36	194	1994	5521.7	8.755779	10.250077	85.24339	1.1976974
1088000	1064.14	194	2133	5605.82	8.487491	10.098568	110.83629	1.059896
1104000	854.84	120	2183	5689.8	8.282208	10.565074	99.60702	0.60302126
1120000	1145.16	194	2002	5773.97	9.193773	10.40434	99.26386	1.2906275
1136000	659.42	194	2134	5858.18	10.37404	12.237157	108.25252	1.1785301
1152000	623.8	194	1990	5942.17	10.954229	11.1539	91.50697	1.3062121
1168000	444.58	120	2008	6026.32	12.298094	12.80659	104.26725	1.0377977
1184000	236.9	120	869	6110.12	15.343033	16.245356	99.64455	1.0782497
1200000	659.16	120	2154	6194.05	17.44979	18.308455	140.17714	1.4357162
1216000	633.36	120	2160	6277.83	17.359226	19.060003	139.23364	1.3759294
1232000	862.98	133	2183	6361.53	17.696024	19.235254	137.04819	1.2245305
1248000	1290.18	120	2193	6445.38	19.309351	24.568317	176.31738	1.1643915
1264000	1119.48	777	2167	6530.06	17.528824	19.924093	142.63351	1.494869
1280000	1100.58	589	2349	6614.2	19.157164	21.359701	127.29463	1.8965394
1296000	914.06	582	2149	6699.17	15.003281	17.120453	127.469055	1.2973238
1312000	1304.58	785	2194	6783.19	12.811449	14.605638	95.67169	1.886975
1328000	1460.2	774	2639	6867.05	10.636156	12.879426	150.79361	1.2919974
1344000	1534.72	194	2200	6952.36	9.677265	11.228101	100.958336	1.3143387
1360000	1550.36	733	2199	7039.96	7.852708	8.160168	68.62592	0.99081093
1376000	1713.84	581	2663	7128.19	7.6847777	8.840626	143.5773	1.1695292
1392000	1495.78	412	2339	7217.09	8.415561	9.46662	99.72745	1.4303893
1408000	1558.82	397	2189	7309.3	7.619377	7.82917	104.37732	1.3164182
1424000	1701.56	543	2192	7399.94	9.0021515	10.5625305	108.80672	1.5360366
1440000	1627.98	587	2228	7491.52	9.057559	10.181858	119.60479	1.4806515
1456000	1547.66	120	2203	7578.5	8.306307	11.2021	122.39087	1.2543916
1472000	1685.7	580	2335	7666.75	9.256992	11.477862	100.963135	1.2199359
1488000	1738.94	784	2342	7753.6	11.093016	14.772862	111.9079	1.5900545
1504000	1615.68	120	2733	7841.36	11.081834	14.044702	122.29371	1.4837921
1520000	1765.82	782	2185	7929.41	10.682278	14.437723	142.29765	1.2818081
1536000	1687.64	774	2772	8016.51	9.224233	12.667867	111.3091	1.1802037
1552000	1772.14	787	2785	8103.72	10.315704	14.897473	129.93753	1.3698823
1568000	1940.3	580	2797	8191.89	7.7737827	11.735651	124.19953	0.923951
1584000	1659.4	589	2759	8280.94	7.578194	11.001702	116.14763	1.1646135
1600000	1851.76	133	2345	8370.25	6.769653	8.468138	82.04451	1.2221574
1616000	1774.64	133	2802	8459.67	6.052872	7.9372454	97.3402	1.0983285
1632000	1803.92	194	2358	8548.6	6.6588593	8.980133	108.7991	0.9972487
1648000	1588.8	194	2219	8635.78	6.809164	10.812882	142.3232	0.88323534
1664000	1923.8	-69	2184	8724.91	6.256587	8.899932	98.22179	1.0307235
1680000	1878.3	-69	2219	8814.44	6.7697463	9.338377	89.87447	1.0413897
1696000	1738.62	120	2770	8902.79	6.2183113	9.14668	124.10615	0.95058423
1712000	1885.2	1034	2348	8990.85	5.7325897	8.661829	151.05264	0.74487555
1728000	1697.46	194	2415	9080.6	6.048734	9.795877	123.07933	0.7844617
1744000	1802.0	773	2709	9168.5	5.774649	8.399375	119.36374	0.8962499
1760000	1584.78	194	2797	9255.64	6.824737	11.30697	130.70482	1.0600975
1776000	1788.6	194	2798	9342.51	7.1284866	12.300264	138.74895	0.8509614
1792000	1906.78	750	2740	9429.87	6.778914	9.914435	120.644196	0.8491891
1808000	1852.86	194	2795	9516.35	6.9892697	10.655979	121.329956	0.8957504
1824000	1980.2	788	2773	9603.31	6.5258584	7.7896705	77.18252	0.82236373
1840000	1960.58	788	2774	9689.83	6.7481046	10.603404	113.457535	0.889791
1856000	1872.78	765	2801	9777.2	6.2378693	9.960478	121.84867	0.68789697
1872000	2036.04	780	2791	9864.69	5.7649965	7.944416	103.859604	1.0897009
1888000	1802.56	582	2802	9952.07	5.5874376	7.8318014	97.2457	0.95683527
1904000	1803.2	582	2802	10039.85	5.9723234	10.855301	190.82214	0.73452836
1920000	1891.24	764	2803	10128.63	6.103512	9.336085	144.86235	0.6123359
1936000	1831.46	780	2803	10217.04	7.0628114	12.002199	138.26413	0.5687072
1952000	2029.52	792	2797	10307.14	6.754499	10.45509	135.47809	0.82288325
1968000	2089.8	787	2803	10396.07	6.9750457	10.8255415	123.82609	0.7402326
1984000	2082.48	576	2803	10484.96	7.124492	13.545568	325.6432	0.81172603
2000000	1916.2	120	2794	10573.86	7.5817337	13.127972	135.79413	0.8132927
2016000	1916.92	785	2803	10661.42	7.078847	9.505222	98.87239	0.7156006
2032000	1832.68	780	2799	10747.19	7.510634	9.755959	90.649994	0.77347547
2048000	1872.28	120	2803	10835.68	7.886093	10.161735	146.4534	0.8419603
2064000	1558.16	783	2803	10923.58	9.002008	13.0020485	129.12845	0.92402554
2080000	1520.06	120	2800	11012.43	10.280739	15.347361	188.43526	0.724031
2096000	1750.68	397	2804	11102.39	11.137002	16.926147	159.33691	1.3012408
2112000	1660.84	742	2804	11189.98	11.555465	16.087149	127.48759	1.030917
2128000	1879.26	587	2802	11278.2	10.489293	14.812731	188.98459	1.0982156
2144000	1683.7	773	2803	11365.88	9.429186	12.62048	105.97799	0.92566985
2160000	1902.6	786	2803	11455.36	8.780726	11.676146	119.59967	0.8997954
2176000	1798.5	783	2803	11543.74	8.201	11.061162	104.44974	0.99627244
2192000	1822.66	783	2804	11631.88	7.3208327	10.214625	125.09475	0.80934733
2208000	1805.42	589	2805	11720.67	6.8128076	9.972671	126.785194	0.88515025
2224000	1836.76	797	2804	11809.61	6.020504	7.468523	121.790726	0.90646994
2240000	1519.12	120	2804	11898.11	7.1373944	11.625055	120.12914	0.683414
2256000	1990.76	782	2802	11988.21	6.8582015	9.794285	138.5297	0.76795495
2272000	1486.48	589	2805	12077.68	7.449995	9.971511	98.50654	0.9049715
2288000	1831.16	589	2805	12167.74	8.209124	11.134785	164.60617	0.9924561
2304000	2055.06	589	2805	12257.33	7.8628397	10.541802	113.99093	1.0700464
2320000	1928.08	386	2804	12345.96	8.704424	12.781069	120.96255	1.0296973
2336000	2006.34	790	2806	12434.78	8.703181	12.258199	151.45128	1.1331762
2352000	2139.66	133	2803	12524.58	8.383722	10.004621	100.5716	1.0926305
2368000	2149.26	579	2803	12614.03	7.697877	11.045789	148.04842	0.910876
2384000	2212.64	587	2804	12700.79	7.6849866	10.722389	124.455696	0.781374
2400000	2196.08	766	2804	12788.37	6.7814956	8.889772	113.233765	0.85843515
2416000	2153.74	589	2804	12878.85	7.5971303	12.282983	157.19666	0.9426008
