TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
32000	488.48	108	1762	72.87	2.1434393	0.9363515	4.824871	0.7474939	0.35976222	0.24389309	1.8399428	0.058496155
64000	458.28	105	1037	148.97	5.8034654	1.3330315	10.330111	2.3944128	1.4734281	0.91750824	7.69109	0.26990026
96000	414.49	105	1177	225.5	9.359643	1.5113003	13.714127	4.772465	3.1807475	1.7262852	12.530772	0.6458339
128000	464.57	111	991	302.58	12.816317	1.6945999	18.193024	8.085021	4.8018746	2.4747324	16.018717	0.88143396
160000	374.06	111	1098	380.15	16.12029	1.6809555	20.796846	9.640572	6.5720625	3.405209	31.513317	1.2809427
192000	436.57	111	1222	457.74	19.04118	1.6232866	24.980991	13.614281	6.8977256	3.8751333	29.570835	1.3378954
224000	346.35	113	1084	535.28	21.23262	1.579134	26.66072	15.921715	7.8970065	4.4688883	29.287674	1.4258008
256000	395.02	111	1220	612.68	23.66482	1.609706	28.902966	18.59187	8.3610525	4.968122	37.605274	1.5732532
288000	536.59	120	1231	690.26	25.958357	1.5548414	31.412474	20.988052	8.032915	4.803671	35.892803	1.8916168
320000	421.11	120	1051	768.5	28.326159	1.4087416	32.65634	23.71819	7.748371	4.662931	32.228477	1.5296996
352000	370.41	120	1027	847.42	30.041836	1.2491189	33.44502	26.163284	6.8559055	3.7892175	26.637835	1.4987196
384000	568.87	111	1213	925.35	31.184687	1.2692274	34.939957	27.266254	5.9722958	3.6017458	31.584766	1.1609623
416000	624.18	120	1198	1002.87	31.711702	1.2339256	35.429146	27.859844	5.5790243	3.6175902	30.094507	1.1059396
448000	602.54	120	852	1079.78	31.798737	1.3341261	35.57399	26.577457	5.353036	3.5843303	30.621935	0.85998654
480000	638.56	120	1206	1155.97	31.272326	1.5795877	35.76983	25.216461	4.402463	3.2846358	35.993084	0.77958
512000	679.25	120	1213	1234.34	30.807201	1.601671	35.721214	25.285566	3.8836834	2.7722738	28.496405	0.7127795
544000	763.51	120	1590	1311.5	31.225845	1.5407984	36.80912	26.099823	3.4139404	2.5763698	27.425676	0.48016453
576000	733.04	120	1793	1389.9	31.794651	1.6168762	36.48185	27.14664	3.2381468	2.3304722	17.842579	0.3971474
608000	671.85	120	885	1468.72	32.585236	1.4510473	37.267235	27.345327	3.2433567	2.709749	20.621992	0.44377744
640000	721.92	120	1221	1547.11	33.19921	1.4972597	37.595016	28.81578	3.8190374	3.2423618	19.515022	0.4197836
672000	724.77	120	1089	1624.96	33.216206	1.4780848	38.189987	28.569592	4.6819644	4.004086	29.019125	0.40474325
704000	746.17	120	1211	1701.09	32.678703	1.5682485	37.416702	27.676807	5.084423	4.3453164	26.129442	0.53617597
736000	749.74	391	1101	1776.71	31.334238	1.529915	35.840965	25.803574	5.01881	4.537833	22.497635	0.39341488
768000	778.46	120	1213	1852.27	30.54646	1.5473783	36.923965	25.267183	4.301403	4.328725	28.25959	0.40499175
800000	817.96	120	1207	1928.22	31.131737	1.8612604	36.944057	25.406876	4.399754	4.420768	30.03997	0.5093309
832000	769.56	120	851	2003.52	32.09213	1.924783	38.804718	25.820097	4.2109513	4.1106234	31.256443	0.45287544
864000	772.0	120	1208	2079.26	33.30138	1.8964664	39.39104	27.057173	3.769461	3.698271	27.729961	0.54253703
896000	831.2	120	1210	2154.95	34.32829	2.0740674	40.629944	27.836456	3.829671	3.7452917	22.412844	0.42115062
928000	863.22	120	1790	2230.19	35.48	1.9634547	41.66934	29.416521	3.8793354	4.381877	44.03205	0.54561794
960000	710.79	120	1212	2305.95	35.689747	2.0906587	42.62742	28.68269	4.2036366	4.371205	34.14261	0.5044011
992000	839.35	120	1220	2381.42	34.399525	2.3451424	41.325726	27.629984	4.078744	3.8760927	25.263218	0.47443184
1024000	781.33	120	1401	2456.79	32.248966	2.314235	39.526432	23.91745	4.716905	4.9642386	39.669262	0.5627435
1056000	752.69	-101	1183	2532.33	30.455242	2.3332052	37.689903	22.024363	4.740656	4.577895	30.679499	0.5616709
1088000	771.75	320	1212	2607.58	27.917387	2.4516346	35.7247	20.205658	4.792919	5.124906	36.48233	0.5018679
1120000	845.41	120	1621	2683.75	26.67987	2.3573558	34.042313	18.108814	5.0862403	6.377116	45.907482	0.39169914
1152000	768.44	120	1688	2759.76	25.756033	2.2838552	33.19494	18.10598	4.841786	6.08508	41.632904	0.4992758
1184000	776.83	120	1231	2835.28	26.910614	2.4972763	35.908974	19.823002	5.5179324	7.3669634	58.43549	0.53855646
1216000	850.89	120	1804	2911.06	29.033754	2.3502557	36.467625	22.165028	5.496962	6.664332	50.14708	0.49612737
1248000	865.56	407	1436	2986.34	30.826063	2.2953808	38.497635	22.562489	5.4653525	6.015217	54.462112	0.44338512
1280000	797.82	120	1436	3061.82	30.409801	2.4727378	37.940098	21.666985	4.8655076	5.3654327	46.757355	0.6790752
1312000	684.86	395	856	3137.83	28.157902	2.5208428	36.004486	20.844078	3.9197443	4.415623	38.273018	0.6175371
1344000	741.75	407	1207	3213.6	28.65684	2.6579947	36.544144	20.396606	4.0621676	4.764566	34.735306	0.3907596
1376000	753.74	120	1210	3288.58	29.140823	2.7402978	36.791008	20.280354	4.0968537	5.297612	44.777237	0.44511542
1408000	816.05	406	1601	3363.37	28.55972	2.7528644	37.023697	19.213432	4.4409447	5.447994	58.824036	0.4274836
1440000	801.25	120	1201	3438.38	26.989122	2.8045926	37.46344	17.252333	3.6343403	4.301936	27.355656	0.4119292
1472000	736.32	120	1034	3514.39	26.81177	2.9892244	36.579865	18.286804	2.956972	3.3935606	30.87672	0.34876317
1504000	737.2	120	1213	3588.88	29.015867	3.182861	39.054413	17.72777	2.930683	3.1633062	22.635262	0.34271896
1536000	764.23	120	1138	3663.83	31.924559	2.7948642	40.26076	23.91832	3.146478	3.4549673	23.341825	0.37554225
1568000	743.87	120	1210	3739.79	34.372322	2.6644745	42.6476	24.588428	3.0331562	3.9990158	27.345734	0.35197836
1600000	818.18	120	2146	3815.35	37.34381	2.3681586	44.49787	28.911623	2.7835507	3.5871189	24.67503	0.30241042
1632000	798.34	120	1038	3890.9	38.247818	2.2522848	44.938267	31.500076	2.2458944	3.226925	26.894335	0.27439895
1664000	775.66	120	1038	3966.04	38.884815	2.3022804	45.930927	32.073563	2.0037324	3.048003	28.6782	0.22115731
1696000	790.91	120	1031	4041.19	39.60664	2.2965906	47.27932	32.6446	1.8127116	3.0525649	37.074078	0.1768795
1728000	826.14	120	1219	4116.71	40.647358	2.38695	48.447144	32.120598	1.8527958	2.6428604	37.186375	0.2022847
1760000	745.11	120	1228	4192.19	41.871086	2.3076146	50.047523	33.76654	1.9422783	2.5020452	20.272367	0.17989004
1792000	817.33	120	1468	4267.72	40.397617	2.3948889	46.718525	33.110146	2.0518668	2.603258	30.7349	0.22130783
1824000	817.22	120	1437	4343.35	37.75474	2.5036387	45.55281	29.01112	2.0224314	2.2980914	26.48123	0.32629898
1856000	854.67	120	1436	4418.5	34.496655	2.7029884	43.74032	27.082596	2.3212547	2.7953625	22.633278	0.3136311
1888000	827.41	120	1810	4493.71	32.063572	2.760364	40.607307	23.212803	2.5323303	3.2723756	25.933218	0.27742714
1920000	782.2	309	1717	4569.04	30.162416	2.9492214	40.913315	20.910198	2.7460668	4.4224625	57.450977	0.32323682
