TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
32000	461.19	111	1837	28.59
64000	449.0	111	1190	57.47
96000	454.07	108	1031	87.07
128000	424.24	111	1085	115.34
160000	422.25	105	1059	141.6
192000	444.28	111	1499	171.13
224000	465.92	111	1201	200.57
256000	433.88	108	1045	229.04
288000	424.7	105	852	255.99
320000	410.76	111	1080	283.4
352000	435.08	111	1089	310.49
384000	435.12	111	1021	337.8
416000	437.32	111	1081	365.43
448000	476.05	108	1079	393.55
480000	502.24	108	1805	421.14
512000	479.8	111	1078	448.64
544000	480.15	111	1028	474.6
576000	495.15	111	1379	499.42
608000	479.88	108	1978	527.26
640000	471.63	105	991	555.17
672000	466.01	111	1391	582.28
704000	421.03	111	1006	610.08
736000	427.29	108	1027	637.51
768000	460.7	105	875	665.96
800000	417.53	108	979	694.9
832000	456.94	105	1205	722.62
864000	522.25	105	1171	751.27
896000	461.55	105	1439	780.56
928000	455.45	105	1028	808.2
960000	421.84	105	1026	837.2
992000	426.19	111	968	865.69
1024000	493.9	111	1056	894.03
1056000	453.74	108	1019	923.45
1088000	470.6	111	1212	951.97
1120000	426.85	108	860	981.18
1152000	445.47	111	1075	1007.04
1184000	429.97	108	1074	1034.52
1216000	457.64	111	1882	1063.58
1248000	452.17	108	1077	1094.59
1280000	426.91	111	1068	1123.99
1312000	451.75	105	1028	1154.57
1344000	450.38	105	1224	1183.77
1376000	462.16	108	1055	1213.15
1408000	429.37	105	1206	1242.76
1440000	468.67	105	1168	1273.39
1472000	448.72	111	1016	1302.53
1504000	412.19	111	1080	1332.35
1536000	395.2	111	834	1362.54
1568000	451.99	108	1216	1392.81
1600000	438.59	108	1706	1423.19
1632000	425.99	111	1202	1453.69
1664000	437.15	111	1163	1482.38
1696000	383.62	108	807	1511.4
1728000	432.88	111	877	1539.3
1760000	386.18	113	1203	1567.63
1792000	424.62	111	882	1598.57
1824000	488.97	111	1082	1629.08
1856000	447.42	111	1207	1659.87
1888000	395.65	108	1082	1690.12
1920000	405.82	105	1080	1720.84
1952000	424.04	108	1092	1752.25
1984000	467.27	111	1030	1783.37
2016000	408.48	113	1203	1813.47
2048000	405.34	108	1171	1842.9
2080000	417.39	108	1198	1873.29
2112000	503.14	111	1217	1902.97
2144000	418.23	111	1198	1933.29
2176000	448.52	108	1710	1962.59
2208000	465.73	108	1018	1992.66
2240000	423.59	111	1437	2021.01
2272000	475.59	111	1050	2046.01
2304000	438.65	108	1025	2073.66
2336000	475.98	108	1192	2105.23
2368000	434.16	105	1169	2136.27
2400000	468.34	105	1536	2166.21
2432000	454.81	105	1070	2196.57
2464000	500.76	105	1209	2227.05
2496000	444.55	111	1044	2256.53
2528000	469.81	111	1473	2285.9
2560000	479.75	111	1068	2315.0
2592000	406.02	108	1034	2342.44
2624000	457.45	111	1209	2371.96
2656000	441.4	105	1207	2401.8
2688000	484.26	111	1029	2431.95
2720000	458.22	111	985	2461.46
2752000	443.97	111	1803	2490.01
2784000	481.49	120	1215	2518.6
2816000	352.32	108	1002	2547.04
2848000	421.98	108	1057	2572.6
2880000	415.95	105	1072	2602.65
2912000	425.59	111	1804	2631.48
2944000	492.44	113	1198	2660.97
2976000	411.47	108	1024	2689.52
3008000	445.39	111	1764	2719.71
3040000	472.29	111	1078	2748.52
3072000	478.2	105	1030	2777.89
3104000	498.54	111	1058	2806.46
3136000	418.51	105	1215	2835.2
3168000	432.71	111	1024	2864.99
3200000	441.86	108	990	2894.27
3232000	466.01	108	1047	2923.1
3264000	466.9	108	1017	2951.73
3296000	445.7	108	1423	2981.09
