TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
32000	472.83	108	1191	48.32	2.0670226	0.93517286	4.8207455	0.73126495	0.3861683	0.2584277	1.822512	0.071524665
64000	441.86	108	1086	97.92	5.642887	1.2709403	9.595022	2.9132323	1.5017976	0.8845263	6.592102	0.27150697
96000	423.25	111	1189	146.91	9.162662	1.5268273	13.4656	4.938088	3.189401	1.7519808	15.783295	0.58546656
128000	428.16	111	1230	196.29	12.221768	1.6030545	17.571781	6.635853	4.784847	2.520397	17.157618	0.978752
160000	386.54	111	1022	245.9	14.876938	1.6497042	20.456451	10.291578	5.9625626	3.5080779	24.220787	0.84224635
192000	383.66	105	1177	295.28	17.485071	1.7472906	23.827526	11.699648	6.866865	3.9696662	25.974354	1.0588953
224000	408.98	105	1430	344.79	20.356688	1.724694	26.021675	15.321905	7.906875	4.4271493	29.02363	1.2016971
256000	360.31	113	831	394.4	23.559265	1.8001535	28.841301	17.615265	8.808549	4.978721	37.581604	1.4665887
288000	412.68	111	1210	443.85	26.042616	1.572778	32.353966	20.597918	9.658991	5.4662824	34.830498	1.6246538
320000	442.9	111	1214	493.51	27.675535	1.5138742	32.269005	22.896973	9.106516	5.535318	38.4487	1.1605552
352000	371.08	120	1802	543.17	28.31945	1.5712197	32.809853	22.50084	8.315542	4.879657	41.187492	1.8538663
384000	468.57	105	1709	592.92	28.461697	1.8399223	34.435814	21.325932	7.8817143	4.940891	44.175243	1.3969685
416000	487.72	120	1435	642.86	29.291567	1.8730783	34.23472	23.364332	7.509303	4.9755907	41.24439	1.3707775
448000	456.71	113	1068	692.93	31.222754	1.9280173	36.625656	25.685425	7.708104	5.222027	37.82746	1.7867286
480000	386.26	113	1197	742.34	33.47082	1.7349799	38.58326	27.268784	7.1286387	4.2833977	31.348984	1.5889543
512000	457.27	113	1024	792.16	34.829517	1.644491	40.186974	29.519197	7.1466026	4.5386357	47.77221	1.6229949
544000	473.56	120	1199	841.68	35.105488	1.7573485	40.03118	29.551136	7.3953047	5.073385	42.299297	1.4151976
576000	544.91	111	875	891.01	34.8553	1.7507448	39.565903	29.436508	7.8971777	5.710919	46.443653	1.3295689
608000	528.27	120	1070	940.3	34.50261	1.8986562	39.763424	28.192848	7.6708827	5.4930453	44.49182	1.590058
640000	485.82	120	1204	989.87	32.63715	2.1900353	38.874332	22.535162	7.0819297	5.9453425	74.59023	1.2715918
672000	433.62	111	1077	1039.36	31.790588	2.2739754	38.6876	24.43417	6.9983354	5.500126	44.13405	0.9747324
704000	516.42	113	1103	1088.72	32.8437	2.2287192	40.312428	24.759132	6.8188944	5.1450934	40.38235	1.0744454
736000	563.81	120	1207	1137.96	34.204376	2.1264246	41.164635	26.579906	7.0651546	5.673652	49.321396	1.1405442
768000	590.87	111	1929	1187.53	34.886673	2.1883514	40.957664	28.098478	7.25668	5.94728	63.007103	1.25486
800000	512.69	111	1031	1236.92	35.13999	2.2546947	41.596382	28.047352	6.593148	5.156258	37.765984	1.1585138
832000	556.97	111	1534	1286.26	36.184372	2.1959426	42.6411	29.12326	6.585332	5.9679894	77.91239	1.2798944
864000	546.53	120	1015	1335.68	37.241726	2.238965	45.096306	28.377142	6.8000693	5.7142196	45.389133	0.9861809
896000	568.97	111	1214	1385.16	35.599518	2.7023835	43.424828	26.645508	6.462415	5.954271	60.157192	0.7963453
928000	497.45	113	1224	1434.45	32.961468	3.1058264	41.361298	23.16823	6.591369	5.946589	57.661297	0.99747235
960000	515.06	111	1067	1484.07	32.176056	3.2524993	41.05501	21.144138	6.7255483	6.6131372	53.613945	1.0401435
992000	562.23	113	1474	1533.51	33.652714	3.172533	42.233727	22.596779	6.4579325	5.9588275	48.55079	1.0249624
1024000	488.66	105	869	1582.84	35.717834	2.8813694	42.949116	22.715065	6.7727766	6.8732724	57.58956	0.92951643
1056000	501.21	111	1010	1632.19	37.921257	2.9930317	47.44861	26.473	7.288171	6.7388115	51.07412	0.92977273
1088000	573.21	108	1743	1681.64	38.685608	2.88961	46.266785	26.484688	6.803262	6.340409	49.810307	1.0384388
1120000	561.15	111	1200	1731.04	39.53472	2.9400177	47.903305	30.27649	7.091289	6.6201406	72.838196	1.2007282
1152000	499.6	111	1208	1780.3	40.15924	2.7251136	47.919243	31.928617	7.6125045	6.7347593	50.7033	1.0789286
