TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
32000	371.53	241	1037	65.06	0.3105071927002709	0.25521351113319934	1.965758	0.029470664
64000	397.37	241	1408	145.66	0.8691429443359375	0.7777034343732433	5.368022	0.119812354
96000	388.35	250	1244	230.56	1.9082076416015625	1.3706109816029584	9.422496	0.1788342
128000	385.34	240	1127	316.43	3.31387939453125	2.3040199245015223	13.4878235	0.3712659
160000	387.69	241	1231	402.63	4.4999423828125	2.8253676993833476	16.077126	0.58324176
192000	391.7	241	1369	489.36	5.1063486328125	3.3415788804190303	19.33311	0.65497196
224000	441.46	240	1395	576.35	6.0548916015625	3.998469433733363	26.252726	0.7486289
256000	391.49	240	1387	662.3	6.61923046875	4.846443605882565	33.30032	0.7010909
288000	401.62	240	1242	749.78	6.93674169921875	5.275846162879941	43.090225	0.6305459
320000	333.03	240	956	838.32	7.1136484375	5.3735157834512774	32.63045	0.70052075
352000	326.82	240	955	926.46	6.880646484375	5.612815971061228	40.573097	0.7311644
384000	368.48	240	976	1015.1	6.60588818359375	5.11973681727147	34.245262	0.7634253
416000	404.67	240	1384	1103.58	6.24760888671875	4.637120520188148	27.095087	0.7290895
448000	450.73	240	1396	1191.88	5.83838232421875	4.256951575805156	25.010923	0.7352737
480000	406.28	240	1252	1280.4	5.8555966796875	4.469850388995139	31.726227	0.6562887
512000	402.82	240	1248	1368.52	5.114193359375	3.905368525544356	33.34697	0.64918196
544000	346.75	240	819	1455.68	4.8329150390625	3.5219041147864885	36.405296	0.5120257
576000	343.61	240	918	1541.39	4.86058740234375	3.6332231622727225	28.257072	0.67739487
608000	325.18	240	942	1628.2	5.02770068359375	3.6494608441693135	27.620304	0.72694635
640000	383.51	240	1252	1715.82	5.012671875	3.5883611771252903	22.397358	0.5957415
672000	263.22	240	715	1802.64	5.37332080078125	4.068320589859531	25.656971	0.74678946
704000	345.0	240	890	1888.49	5.9091865234375	4.332025769270654	35.845947	0.9100506
736000	341.65	240	812	1974.75	5.7811318359375	4.125888635342695	26.666994	1.0320222
768000	320.27	240	960	2061.09	5.949818359375	4.248301590783075	26.929401	0.86678064
800000	334.1	240	911	2147.08	6.44395068359375	4.809884232299671	29.255665	0.7974634
832000	302.04	240	811	2233.4	6.44112353515625	4.592806025459817	36.362637	0.922305
864000	281.44	240	821	2319.4	6.72950244140625	4.8858644961767	33.92292	0.8935846
896000	265.59	240	379	2404.92	7.49753515625	5.487424899827787	37.64195	0.7223695
928000	329.71	240	741	2489.86	7.503896484375	5.823360820866246	54.91311	0.73810184
960000	335.47	240	557	2575.49	7.915931640625	6.173889702812968	45.407536	0.9170501
992000	368.39	240	549	2661.07	7.89399853515625	6.058218849216328	36.207336	0.8619016
1024000	301.46	240	555	2745.99	8.2462939453125	6.872545584606915	49.74363	0.6360165
1056000	342.35	240	755	2831.76	7.741197265625	6.472751178015419	44.79763	0.67761505
1088000	412.43	252	632	2917.99	7.17721240234375	6.063566272211428	54.70146	0.7512971
1120000	440.35	240	733	3004.23	6.96443505859375	7.01480966865816	58.42312	0.72027063
1152000	327.82	240	919	3091.08	6.0180947265625	6.097872323605997	59.40444	0.71906525
1184000	417.06	240	744	3177.86	5.26659375	4.9225557068965715	34.39038	0.8027971
1216000	418.73	240	820	3265.0	5.3186669921875	4.728173743965528	31.268684	0.6081183
1248000	376.22	240	734	3351.23	5.177029296875	4.2631629799656965	28.894306	0.7572302
1280000	441.79	240	1379	3437.6	4.9019287109375	3.7734904887583856	25.144655	0.7887716
1312000	323.1	240	1397	3523.82	4.9531728515625	3.6426089015120744	28.247036	0.7318782
1344000	499.38	240	1406	3610.77	5.146337890625	3.887497111132367	29.498428	0.78468287
1376000	335.81	240	1403	3697.95	5.2204326171875	3.7031384493426653	29.337498	0.73595464
1408000	297.25	240	1249	3784.33	5.52453759765625	3.9667312779226678	28.689674	0.8292983
1440000	311.88	240	1392	3870.69	5.36779296875	3.861209331284695	26.97721	0.65730876
1472000	325.76	240	677	3956.86	5.2432099609375	3.70238626597766	24.300179	0.7696995
1504000	393.7	240	1400	4042.51	5.5915576171875	3.8360565791089423	29.594976	0.757419
1536000	408.19	240	1400	4127.83	5.699568359375	4.380584605320961	30.497417	0.7776409
1568000	360.34	240	963	4213.47	5.8626796875	4.605674149893803	45.17688	0.7014452
1600000	334.26	257	821	4299.08	6.3605859375	5.19039602896542	40.25104	0.7836129
1632000	383.32	257	816	4384.72	5.971603515625	4.5893827029078755	38.17935	0.74882126
1664000	330.9	257	555	4470.64	5.9996796875	4.540874261912567	34.59002	0.7962755
1696000	331.86	257	553	4556.75	5.94977734375	4.897552003297157	30.119247	0.5461833
1728000	323.1	240	822	4642.86	5.822791015625	5.046935564652079	32.208015	0.709289
1760000	308.7	257	820	4729.27	5.88266455078125	5.132971316036161	31.352642	0.6379183
1792000	411.37	240	825	4816.0	5.7574072265625	5.16203482317051	35.03062	0.67479336
1824000	303.56	241	810	4902.85	6.3290517578125	5.276106963235298	28.718266	0.53157675
1856000	303.27	240	782	4989.23	5.832326171875	5.091052966970585	41.988926	0.57623327
1888000	349.0	240	810	5074.89	5.63728173828125	4.939049203161475	32.08098	0.5087423
1920000	277.85	256	507	5160.36	6.45342236328125	6.04468839664213	46.48409	0.5243348
1952000	319.26	256	555	5246.39	6.55634814453125	6.265908503561156	46.98603	0.3392852
1984000	265.13	240	796	5332.64	6.69866748046875	6.138067374487673	36.665836	0.5788497
2016000	297.73	256	556	5418.04	6.49622607421875	6.260469356406116	37.014824	0.32299823
2048000	472.6	240	952	5503.1	5.94683349609375	6.2446868040959425	38.67293	0.3918358
2080000	448.78	240	993	5589.99	6.159923828125	6.044526191108779	39.88114	0.4278258
2112000	338.45	240	758	5675.59	5.88009228515625	5.420607380635495	34.47228	0.37302285
2144000	293.01	240	662	5762.01	6.64650146484375	6.095626954526499	36.678616	0.55440944
2176000	290.55	240	898	5848.49	6.25996435546875	6.0056948884995816	44.090164	0.4305356
2208000	300.59	240	960	5934.97	6.5836240234375	6.255227501358364	44.31887	0.5077979
2240000	407.56	240	943	6021.14	6.34657080078125	6.2378964052395105	47.62744	0.42126358
2272000	479.16	240	1085	6107.64	6.4103564453125	6.228249026612536	33.656467	0.71410406
2304000	363.39	240	1413	6194.16	6.0463408203125	6.01428735127862	38.61061	0.51082325
2336000	362.83	240	1408	6280.4	6.44265625	6.530946165181581	49.906754	0.64884603
2368000	441.48	240	1373	6367.21	6.5477021484375	6.662248764024802	39.357826	0.31257766
2400000	448.45	240	1401	6453.52	6.831384765625	7.351546393446756	39.948387	0.49564102
2432000	438.43	240	1241	6539.99	7.44843359375	7.915108426689429	48.951614	0.69119036
2464000	518.56	240	958	6625.74	7.8248720703125	8.100377113134918	55.591423	0.7465625
2496000	399.43	240	969	6711.89	8.4339365234375	9.002468845405687	62.73321	0.52720165
2528000	438.67	240	938	6797.7	8.1925546875	8.028748880974545	49.200108	0.7422428
2560000	401.15	240	1090	6883.95	8.0194130859375	8.257376437162108	70.14311	0.5781345
2592000	364.32	240	819	6969.13	7.40906640625	7.450010224405736	50.56272	0.4754539
2624000	472.57	240	1402	7055.01	7.3618154296875	7.142718101325293	46.23098	0.59887326
2656000	480.01	240	1424	7141.37	7.33927685546875	6.908717036740613	57.2763	0.4513759
2688000	428.03	240	1590	7228.07	7.14283203125	6.863847203828185	46.10605	0.3738774
2720000	304.24	240	957	7314.17	7.280728515625	7.263875999165322	42.979164	0.5165833
2752000	407.39	240	795	7400.23	7.4438671875	6.951517932257674	64.984085	0.491522
2784000	296.68	240	1532	7486.2	7.184935546875	6.919253030493971	51.380363	0.6955614
2816000	293.5	240	654	7572.56	6.66758349609375	6.239554083125652	42.045742	0.57448035
2848000	373.81	240	1608	7658.94	6.42557666015625	5.824218026911423	41.629368	0.6396667
2880000	407.06	240	1409	7745.17	6.59457421875	6.381666244994328	47.41954	0.60296917
2912000	430.65	240	961	7832.31	6.8313671875	6.448164709822478	43.55786	0.58770835
2944000	398.69	240	1510	7918.66	7.3699384765625	6.889308405964999	50.619164	0.77750504
2976000	426.59	240	1609	8004.93	7.1053828125	6.515241445545207	45.955776	0.703585
3008000	408.05	240	1508	8091.23	6.9458076171875	6.788790162834612	48.10537	0.6854601
3040000	529.5	240	1517	8177.28	7.63805078125	7.21750909247782	54.886963	0.63272583
3072000	442.72	258	964	8263.56	7.6144638671875	6.965330999852053	57.2724	0.6696696
