TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
32000	378.84	242	378	83.04	0.3180837404863261	0.25018572920555604	2.255423	0.016062628
64000	370.94	250	951	171.12	1.0016861572265625	0.8542605266329946	6.045207	0.106363654
96000	384.0	246	1372	259.48	1.893141357421875	1.3408099650228915	8.828171	0.17364475
128000	365.91	250	1047	347.94	3.083736328125	2.099784680181518	13.195404	0.22152524
160000	370.77	246	915	437.46	4.15609765625	2.5810292354141398	17.13273	0.44788468
192000	364.21	240	963	526.12	5.0643115234375	3.200279986530475	21.738995	0.55695593
224000	359.27	240	1250	615.38	5.85237548828125	3.5903283983241003	26.851372	0.6024604
256000	355.25	240	1393	706.67	6.26755029296875	4.017661327073562	30.06716	0.8123288
288000	386.49	240	1394	796.27	6.21028759765625	4.237534798898412	28.175663	0.9244071
320000	364.66	240	1364	887.01	5.485251953125	3.715796095724307	32.593086	0.6561072
352000	352.34	240	1243	979.87	5.07036572265625	3.6770421090701424	24.791464	0.6510388
384000	345.03	240	907	1071.64	4.82649560546875	3.518552669866546	24.839388	0.5365745
416000	369.51	240	1399	1162.81	4.2549306640625	3.075492846683276	21.768188	0.571851
448000	378.84	240	1393	1252.72	4.173015625	3.146334362694944	20.580196	0.48325473
480000	366.42	240	1067	1343.34	3.924393798828125	2.8751328094324617	22.796213	0.5051036
512000	390.97	240	1397	1432.54	4.0942705078125	3.1125219627739176	21.797985	0.5221334
544000	437.28	240	1415	1523.13	3.865946044921875	2.942701677721087	24.655266	0.4487647
576000	407.63	240	1404	1613.72	3.956820068359375	2.9832754846288503	19.988512	0.39813334
608000	365.21	240	1400	1707.77	3.81368701171875	3.0653182185949306	25.121563	0.4094771
640000	387.96	240	1383	1801.85	3.96966162109375	3.1759159911453105	21.44696	0.55088955
672000	410.61	240	1238	1894.91	4.04168896484375	3.427760349794746	34.284943	0.64679474
704000	455.19	240	1583	1987.84	4.120673828125	3.3097612498864626	22.196682	0.5795845
736000	424.21	240	1388	2081.78	4.46295361328125	3.390332072599969	23.108868	0.70075226
768000	416.43	240	1251	2175.15	4.5932919921875	3.430403327917506	20.7739	0.74928224
800000	418.54	240	1236	2267.16	5.1289091796875	3.980032682811788	35.79862	0.9913186
832000	365.82	240	1397	2360.18	6.318880859375	4.431498582590319	30.40607	0.9469
864000	385.37	240	971	2453.01	6.71000927734375	4.721524432717679	37.609356	1.179785
896000	387.23	240	961	2546.25	6.79859033203125	4.799017233377059	32.399643	1.1931812
928000	387.75	240	1070	2641.52	7.21907177734375	5.194787802451607	37.45357	1.084452
960000	403.67	240	1417	2735.03	7.6249404296875	5.396859257359784	38.085815	1.0458858
992000	374.28	240	1076	2827.91	7.879666015625	5.320775172613479	35.472588	1.0568142
1024000	324.73	240	736	2921.64	8.392958984375	5.878675379602959	39.146507	1.0047812
1056000	381.76	240	1253	3014.49	8.62164453125	6.313197053098374	37.618298	1.0697018
1088000	432.58	240	1396	3105.53	9.0658359375	6.740954587445312	43.26588	1.0768275
1120000	378.29	240	948	3196.72	8.942439453125	7.620041676805318	56.153255	1.1673074
1152000	447.19	240	1409	3289.5	8.49497265625	6.927704796684108	43.629772	0.9909373
1184000	488.7	240	1377	3380.86	8.18689794921875	6.900107562567412	40.967537	0.91033906
1216000	368.16	240	1389	3471.8	8.13879296875	6.881451802218046	38.687557	1.1185278
1248000	424.31	240	1408	3563.43	7.677857421875	6.557783721940668	41.368443	1.0206847
1280000	506.34	240	1397	3658.46	7.6068837890625	6.3381980015024775	41.19809	0.58621085
