TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
32000	392.64	242	1319	57.03	0.32164336874758126	0.24293187938292685	2.659739	0.021287741
64000	403.65	246	949	132.86	0.9877214965820312	0.8842949389556066	6.496875	0.086163506
96000	356.74	242	1052	215.47	1.94334423828125	1.4530161249535396	10.139565	0.1480518
128000	383.67	240	1240	302.46	3.018979736328125	2.1041353906503972	14.982822	0.28417164
160000	358.07	240	1401	390.36	4.31662060546875	2.9387352788338217	18.74254	0.5208633
192000	384.13	240	1391	478.78	4.96551416015625	3.2230541610404253	19.990124	0.61403954
224000	379.17	240	1384	566.98	5.025296875	3.391900969589177	20.752073	0.32958654
256000	358.8	240	958	655.61	5.55908447265625	3.9634324612638476	26.129543	0.49327683
288000	326.43	240	816	743.46	5.4250673828125	4.099964510136033	25.45484	0.68197936
320000	346.51	240	906	830.77	5.5100107421875	4.160910451001079	28.258404	0.74345046
352000	345.86	240	953	919.61	5.1146240234375	3.8685803678481334	26.90776	0.43661872
384000	357.86	240	962	1007.37	4.5938154296875	3.3800683875755384	24.440735	0.49361032
416000	413.34	240	1242	1093.52	4.1441220703125	3.1066071223281515	21.008091	0.43172824
448000	352.7	240	915	1179.32	4.007439208984375	2.9247803069205043	21.297892	0.4760881
480000	373.03	240	1253	1268.04	3.7983359375	2.9237848036620275	19.378498	0.33015868
512000	386.85	240	966	1356.43	3.900454345703125	2.9354923325355493	22.95221	0.34386688
544000	404.24	240	1219	1444.01	3.63172607421875	2.787881928011165	18.533493	0.42641988
576000	394.75	240	983	1531.6	3.79067333984375	2.770714332109366	21.85973	0.37440175
608000	361.46	240	955	1619.4	3.784366455078125	2.8884133431046535	21.88484	0.49166173
640000	418.72	240	1390	1707.83	3.7180361328125	2.892329564987365	20.114237	0.38661098
672000	359.59	240	916	1794.86	3.6228759765625	2.8039113654522856	19.288078	0.51281184
704000	386.75	240	916	1883.04	4.09778515625	3.186316876014531	23.979822	0.6484797
736000	398.13	240	749	1970.66	4.59901416015625	3.53873473923767	24.46885	0.75109136
768000	378.74	240	909	2059.85	4.84372216796875	3.536417126662238	26.414833	0.90423125
800000	401.98	240	815	2148.36	5.27023828125	4.0240657883228	35.10785	0.8240654
832000	359.33	240	746	2237.54	5.87196142578125	3.992327602727512	36.054955	0.98509973
864000	383.92	240	624	2326.19	6.42763037109375	4.324331144090378	32.326565	0.7310165
896000	335.67	240	742	2417.89	6.815486328125	4.515727074970873	32.4647	0.9339211
928000	336.06	240	555	2510.47	7.4715263671875	4.748135324788038	28.124783	1.0151767
960000	326.89	240	648	2598.83	7.125404296875	4.781317197240212	39.68093	1.0216188
992000	317.12	240	556	2688.27	7.55881494140625	5.143555965356069	40.462593	1.2350993
1024000	344.15	240	633	2777.83	7.6030068359375	5.102061853432394	34.280468	1.226844
1056000	337.93	240	558	2864.52	7.9518203125	6.004850253128716	37.56776	0.83017427
1088000	327.94	240	815	2952.67	7.33689501953125	5.633124687950729	37.846497	0.8675556
1120000	328.14	240	557	3041.69	6.7765224609375	5.776686712554178	40.905807	0.8588496
1152000	398.49	240	1360	3129.12	5.760283203125	5.021784380016231	35.15384	0.90089273
1184000	500.2	240	957	3216.0	5.76759130859375	4.991315309177031	35.757618	0.7213724
1216000	360.64	240	651	3303.7	5.5845380859375	4.612966397490339	35.060787	0.7848706
1248000	366.4	240	659	3391.14	6.4472802734375	5.2031167417351885	51.320026	0.9528339
1280000	278.74	240	661	3479.4	5.6947109375	4.537640321521749	33.515	0.7293471
1312000	368.03	240	1418	3566.3	5.935	4.733752846909627	29.67173	0.71110666
1344000	343.63	240	821	3653.34	5.666228515625	4.529391429182292	35.43968	0.7243748
1376000	321.45	240	559	3739.42	5.66751708984375	4.624911316717327	34.589283	0.6008501
1408000	420.26	240	728	3824.9	6.05073828125	5.176319653600423	46.77419	0.6864831
1440000	486.38	240	1400	3911.86	6.33377490234375	4.8367033420244	35.985447	0.70922434
1472000	321.03	240	710	3999.72	6.425634765625	5.020242033819186	32.194923	0.78216195
1504000	356.97	240	1095	4087.09	6.15000732421875	4.809621704198783	25.239672	0.79596496
1536000	331.45	240	556	4174.09	5.85864599609375	4.458417249989059	34.700214	0.8480337
1568000	369.87	240	872	4260.98	5.9463271484375	4.65307819821997	37.798824	0.65933216
1600000	371.0	240	556	4348.28	6.7949072265625	5.636025479282807	43.605583	0.70332104
1632000	373.42	240	458	4435.88	6.563677734375	5.225639912967598	34.976013	0.9663791
1664000	342.65	240	556	4522.19	6.34919580078125	5.654169334161739	62.257195	0.96899766
1696000	319.61	240	555	4609.52	6.13683984375	5.173071425057844	40.095417	0.8766684
1728000	287.45	240	818	4696.66	5.81320947265625	4.91327522509171	33.353985	0.8468827
1760000	332.68	240	549	4784.83	5.43886767578125	4.637972516358845	31.218763	0.67992556
1792000	323.48	240	550	4872.68	4.968833984375	4.493684370174434	34.223812	0.58591336
1824000	283.48	240	630	4963.16	4.98211376953125	3.9441351584900715	25.082834	0.6638337
1856000	367.95	240	1404	5053.59	4.56304296875	3.399657755063368	28.423796	0.53589517
1888000	334.81	240	1399	5145.55	4.0532421875	3.6317657766229914	51.54397	0.588312
1920000	289.93	240	554	5234.81	3.93504296875	3.302313050632087	27.825777	0.3494833
1952000	366.18	240	656	5323.22	3.6559052734375	3.107725378995062	22.393034	0.4359275
1984000	339.83	240	558	5412.72	3.466939453125	3.2010662591256214	28.661182	0.33346638
2016000	479.62	240	821	5499.18	3.484076416015625	3.0901660111655005	24.503647	0.41551208
2048000	460.28	240	1040	5585.87	3.44479541015625	3.058976927626294	22.80763	0.49892348
2080000	493.41	337	633	5673.7	3.56265673828125	2.8729190838761887	17.993523	0.43723404
2112000	487.79	240	818	5760.1	3.67768310546875	3.121525568532156	20.125143	0.57528526
2144000	499.73	240	820	5848.06	3.719958740234375	3.1995974478244915	36.504738	0.41421878
2176000	423.13	240	744	5936.53	4.04088916015625	3.5241585321002513	24.050905	0.572078
2208000	464.83	259	796	6024.71	4.408060546875	3.811101818413213	25.514084	0.539163
2240000	426.0	259	804	6113.37	4.664796875	4.147283090319493	34.038055	0.62099516
2272000	535.14	293	1398	6199.89	4.7486875	4.181693735796538	29.325737	0.3852343
2304000	568.09	259	914	6286.72	5.2752607421875	4.671831730568857	29.230757	0.6016897
2336000	519.51	379	1405	6373.51	5.453552734375	4.975047895498093	38.54175	0.75851357
2368000	347.35	259	795	6459.74	6.0031630859375	5.355522120904739	44.67825	0.7010478
2400000	381.09	240	914	6547.01	6.27230859375	5.748075764984313	37.297073	0.42699575
2432000	282.55	259	914	6633.99	6.557650390625	6.204971545059655	40.325203	0.59274364
2464000	313.24	259	819	6723.23	6.81108837890625	6.451824475487534	45.107365	0.94948816
2496000	506.89	259	962	6811.1	7.18620947265625	6.655138404834267	41.463	0.8406629
2528000	472.08	259	1365	6898.5	7.1009052734375	6.406539627599287	53.697403	1.0281228
2560000	490.91	315	1404	6984.6	6.5901611328125	5.9781793972956345	42.342968	0.63610566
2592000	663.8	253	1404	7070.04	6.109603515625	5.2349219863456415	42.88623	0.9287477
2624000	586.83	263	1405	7155.43	6.76935205078125	6.335800129521922	39.708202	0.97607327
2656000	559.79	259	1396	7241.47	6.58544677734375	5.460686197722773	45.38896	1.00808
2688000	602.86	244	1440	7327.02	6.200677734375	5.756520759104409	41.895367	1.0263112
2720000	490.94	259	1383	7412.18	6.77456982421875	6.2275270974922305	52.489475	0.90435696
2752000	501.11	253	1408	7497.88	7.6300048828125	7.232949238554077	64.46801	1.1586866
2784000	522.85	240	1428	7584.53	7.015880859375	6.282495523277355	46.49952	1.0617132
2816000	560.37	100	1322	7671.08	6.9815419921875	6.39044024794067	63.77665	1.0271165
2848000	601.23	240	1599	7756.93	7.09368310546875	6.50755150286957	50.88867	1.0210363
2880000	644.23	258	1413	7842.31	8.09807421875	8.04550825771747	63.899925	1.1228877
2912000	580.26	241	921	7927.95	9.446673828125	10.04462426188755	61.939274	1.2997438
2944000	583.93	258	1628	8015.98	9.91701171875	10.294140475289815	90.857475	1.2365611
2976000	415.28	257	921	8104.25	10.254455078125	10.207509490566247	81.46749	1.4571421
3008000	504.53	256	822	8191.45	11.3830859375	11.152853474559773	88.185234	1.0432807
3040000	686.09	257	1402	8278.82	9.99309375	9.786364078400108	61.335487	1.4635202
3072000	565.05	359	1399	8366.69	9.928626953125	10.56390819015387	74.62398	1.4690323
3104000	705.69	457	1395	8455.39	9.58488671875	9.719025719561607	68.97631	1.3127967
3136000	564.81	263	1096	8542.54	9.82855859375	10.174096243647394	69.56864	1.3162886
3168000	578.7	263	916	8630.64	10.1993671875	10.701610568040682	75.57176	1.3153349
3200000	516.88	258	979	8718.4	8.390025390625	9.03286836710798	82.644066	1.1109891
3232000	524.77	343	973	8806.94	7.75199462890625	8.212887167433873	69.05014	0.86521846
3264000	553.89	264	1087	8894.79	8.0012724609375	8.171008677788807	57.21348	0.8159151
3296000	617.45	263	1392	8980.65	7.84613818359375	8.161835731010518	50.629333	0.88684726
3328000	576.39	257	1400	9065.97	7.67533154296875	7.951424793708358	54.591206	0.6974957
3360000	672.85	263	1397	9153.23	7.78615185546875	7.985264260655373	66.55936	0.99641967
3392000	549.23	259	979	9239.62	8.03806884765625	8.347701779531898	62.772858	0.68461776
3424000	592.84	374	1296	9326.01	7.6785439453125	7.726707942261051	59.44522	0.89975107
